x, y, z
0.770022, -0.151552, -0.010851
0.770237, -0.150455, -0.010446
0.770552, -0.148834, -0.009849
0.770960, -0.146708, -0.009071
0.771406, -0.144344, -0.008210
0.771856, -0.141917, -0.007329
0.772301, -0.139478, -0.006451
0.772738, -0.137035, -0.005579
0.773167, -0.134592, -0.004715
0.773588, -0.132151, -0.003861
0.774001, -0.129712, -0.003019
0.774406, -0.127272, -0.002192
0.774803, -0.124831, -0.001380
0.775193, -0.122387, -0.000583
0.775575, -0.119940, 0.000198
0.775950, -0.117489, 0.000961
0.776318, -0.115034, 0.001707
0.776678, -0.112575, 0.002441
0.777031, -0.110112, 0.003164
0.777377, -0.107645, 0.003868
0.777715, -0.105175, 0.004552
0.778046, -0.102700, 0.005216
0.778369, -0.100222, 0.005858
0.778684, -0.097740, 0.006477
0.778992, -0.095255, 0.007074
0.779292, -0.092766, 0.007646
0.779585, -0.090274, 0.008193
0.779870, -0.087780, 0.008715
0.780147, -0.085282, 0.009209
0.780416, -0.082782, 0.009676
0.780677, -0.080281, 0.010114
0.780931, -0.077777, 0.010521
0.781176, -0.075273, 0.010897
0.781413, -0.072768, 0.011240
0.781643, -0.070264, 0.011550
0.781864, -0.067760, 0.011823
0.782076, -0.065258, 0.012060
0.782281, -0.062759, 0.012257
0.782477, -0.060264, 0.012414
0.782665, -0.057774, 0.012528
0.782844, -0.055291, 0.012598
0.783015, -0.052816, 0.012620
0.783177, -0.050352, 0.012593
0.783331, -0.047901, 0.012513
0.783476, -0.045468, 0.012379
0.783612, -0.043059, 0.012187
0.783739, -0.040677, 0.011931
0.783858, -0.038331, 0.011609
0.783967, -0.036029, 0.011215
0.784067, -0.033783, 0.010746
0.784158, -0.031610, 0.010197
0.784238, -0.029537, 0.009569
0.784309, -0.027605, 0.008866
0.784368, -0.025874, 0.008110
0.784414, -0.024416, 0.007343
0.784449, -0.023274, 0.006618
0.784474, -0.022427, 0.005969
0.784491, -0.021815, 0.005397
0.784503, -0.021380, 0.004890
0.784511, -0.021081, 0.004430
0.784516, -0.020898, 0.004003
0.784518, -0.020825, 0.003602
0.784517, -0.020861, 0.003189
0.784513, -0.021028, 0.002767
0.784504, -0.021336, 0.002352
0.784492, -0.021792, 0.001942
0.784474, -0.022425, 0.001518
0.784449, -0.023296, 0.001060
0.784412, -0.024493, 0.000550
0.784361, -0.026085, -0.000011
0.784293, -0.028045, -0.000594
0.784211, -0.030254, -0.001164
0.784117, -0.032602, -0.001703
0.784012, -0.035027, -0.002207
0.783898, -0.037497, -0.002678
0.783774, -0.039998, -0.003121
0.783642, -0.042521, -0.003539
0.783500, -0.045059, -0.003933
0.783349, -0.047610, -0.004307
0.783189, -0.050172, -0.004662
0.783020, -0.052741, -0.005001
0.782842, -0.055316, -0.005323
0.782656, -0.057897, -0.005631
0.782460, -0.060484, -0.005926
0.782256, -0.063073, -0.006207
0.782042, -0.065667, -0.006477
0.781820, -0.068263, -0.006736
0.781589, -0.070861, -0.006984
0.781349, -0.073462, -0.007222
0.781099, -0.076065, -0.007450
0.780841, -0.078670, -0.007670
0.780574, -0.081276, -0.007881
0.780299, -0.083883, -0.008084
0.780014, -0.086490, -0.008279
0.779720, -0.089097, -0.008467
0.779418, -0.091703, -0.008646
0.779107, -0.094309, -0.008817
0.778787, -0.096915, -0.008980
0.778459, -0.099521, -0.009136
0.778121, -0.102127, -0.009284
0.777775, -0.104732, -0.009425
0.777419, -0.107337, -0.009559
0.777055, -0.109943, -0.009686
0.776682, -0.112548, -0.009806
0.776300, -0.115155, -0.009920
0.775909, -0.117763, -0.010028
0.775508, -0.120372, -0.010132
0.775098, -0.122983, -0.010231
0.774681, -0.125585, -0.010400
0.774254, -0.128193, -0.010508
0.773818, -0.130798, -0.010611
0.773373, -0.133403, -0.010711
0.772919, -0.136009, -0.010807
0.772456, -0.138616, -0.010902
0.771984, -0.141221, -0.010997
0.771506, -0.143810, -0.011092
0.771031, -0.146331, -0.011187
0.770598, -0.148598, -0.011271
0.770262, -0.150326, -0.011335
0.770034, -0.151494, -0.011378
