x, y, z
0.526164, -0.166628, -0.028011
0.526639, -0.165122, -0.027282
0.527333, -0.162892, -0.026209
0.528228, -0.159966, -0.024807
0.529204, -0.156707, -0.023253
0.530185, -0.153356, -0.021665
0.531148, -0.149984, -0.020078
0.532092, -0.146602, -0.018501
0.533014, -0.143214, -0.016934
0.533913, -0.139824, -0.015383
0.534790, -0.136432, -0.013851
0.535645, -0.133034, -0.012339
0.536480, -0.129628, -0.010849
0.537293, -0.126213, -0.009382
0.538086, -0.122788, -0.007938
0.538859, -0.119352, -0.006518
0.539611, -0.115905, -0.005124
0.540342, -0.112447, -0.003747
0.541052, -0.108981, -0.002386
0.541741, -0.105503, -0.001051
0.542408, -0.102014, 0.000254
0.543055, -0.098514, 0.001529
0.543680, -0.095004, 0.002774
0.544283, -0.091484, 0.003986
0.544865, -0.087953, 0.005165
0.545425, -0.084412, 0.006309
0.545963, -0.080861, 0.007416
0.546478, -0.077301, 0.008487
0.546971, -0.073731, 0.009518
0.547442, -0.070153, 0.010509
0.547889, -0.066567, 0.011457
0.548314, -0.062973, 0.012362
0.548716, -0.059372, 0.013221
0.549094, -0.055765, 0.014032
0.549449, -0.052153, 0.014793
0.549780, -0.048536, 0.015503
0.550087, -0.044917, 0.016157
0.550371, -0.041296, 0.016755
0.550631, -0.037675, 0.017292
0.550867, -0.034055, 0.017767
0.551078, -0.030439, 0.018175
0.551266, -0.026829, 0.018514
0.551429, -0.023228, 0.018779
0.551569, -0.019640, 0.018966
0.551684, -0.016071, 0.019072
0.551776, -0.012529, 0.019088
0.551845, -0.009020, 0.019010
0.551890, -0.005555, 0.018830
0.551914, -0.002145, 0.018540
0.551917, 0.001191, 0.018133
0.551900, 0.004430, 0.017601
0.551867, 0.007533, 0.016941
0.551819, 0.010439, 0.016154
0.551764, 0.013057, 0.015265
0.551707, 0.015278, 0.014327
0.551655, 0.017033, 0.013412
0.551613, 0.018348, 0.012569
0.551580, 0.019311, 0.011810
0.551555, 0.020007, 0.011124
0.551537, 0.020500, 0.010491
0.551525, 0.020819, 0.009891
0.551520, 0.020975, 0.009315
0.551520, 0.020974, 0.008709
0.551527, 0.020783, 0.008072
0.551542, 0.020386, 0.007429
0.551564, 0.019771, 0.006774
0.551595, 0.018900, 0.006079
0.551635, 0.017686, 0.005303
0.551686, 0.016004, 0.004412
0.551747, 0.013751, 0.003397
0.551809, 0.010964, 0.002305
0.551863, 0.007811, 0.001201
0.551900, 0.004451, 0.000125
0.551917, 0.000974, -0.000909
0.551912, -0.002575, -0.001902
0.551884, -0.006172, -0.002857
0.551831, -0.009803, -0.003778
0.551754, -0.013462, -0.004666
0.551652, -0.017141, -0.005527
0.551525, -0.020837, -0.006362
0.551372, -0.024547, -0.007173
0.551194, -0.028268, -0.007962
0.550990, -0.031998, -0.008731
0.550760, -0.035737, -0.009480
0.550504, -0.039482, -0.010212
0.550222, -0.043233, -0.010926
0.549914, -0.046988, -0.011625
0.549580, -0.050747, -0.012308
0.549220, -0.054510, -0.012978
0.548833, -0.058275, -0.013634
0.548420, -0.062043, -0.014277
0.547980, -0.065812, -0.014908
0.547515, -0.069581, -0.015528
0.547023, -0.073349, -0.016136
0.546504, -0.077115, -0.016733
0.545960, -0.080880, -0.017317
0.545389, -0.084643, -0.017891
0.544792, -0.088405, -0.018453
0.544169, -0.092165, -0.019004
0.543519, -0.095922, -0.019545
0.542843, -0.099678, -0.020074
0.542140, -0.103430, -0.020594
0.541411, -0.107181, -0.021104
0.540655, -0.110930, -0.021604
0.539873, -0.114676, -0.022095
0.539064, -0.118422, -0.022578
0.538228, -0.122167, -0.023055
0.537364, -0.125910, -0.023527
0.536479, -0.129629, -0.024098
0.535564, -0.133358, -0.024581
0.534624, -0.137081, -0.025058
0.533657, -0.140798, -0.025529
0.532663, -0.144513, -0.025996
0.531642, -0.148226, -0.026461
0.530595, -0.151929, -0.026926
0.529529, -0.155605, -0.027390
0.528465, -0.159180, -0.027844
0.527488, -0.162390, -0.028253
0.526729, -0.164835, -0.028563
0.526210, -0.166484, -0.028772
