x, y, z
0.695913, -0.155801, -0.014697
0.696189, -0.154563, -0.014208
0.696593, -0.152732, -0.013487
0.697115, -0.150331, -0.012547
0.697686, -0.147660, -0.011506
0.698261, -0.144917, -0.010442
0.698827, -0.142160, -0.009380
0.699383, -0.139398, -0.008326
0.699929, -0.136635, -0.007280
0.700462, -0.133873, -0.006246
0.700984, -0.131112, -0.005227
0.701495, -0.128350, -0.004223
0.701995, -0.125586, -0.003237
0.702485, -0.122818, -0.002268
0.702964, -0.120045, -0.001318
0.703433, -0.117266, -0.000388
0.703891, -0.114482, 0.000523
0.704339, -0.111692, 0.001419
0.704777, -0.108898, 0.002304
0.705204, -0.106099, 0.003167
0.705620, -0.103294, 0.004007
0.706026, -0.100483, 0.004824
0.706421, -0.097668, 0.005615
0.706805, -0.094847, 0.006382
0.707178, -0.092022, 0.007122
0.707541, -0.089192, 0.007834
0.707892, -0.086357, 0.008518
0.708233, -0.083518, 0.009173
0.708562, -0.080675, 0.009797
0.708881, -0.077828, 0.010388
0.709188, -0.074979, 0.010947
0.709483, -0.072126, 0.011472
0.709768, -0.069272, 0.011960
0.710041, -0.066416, 0.012411
0.710302, -0.063559, 0.012823
0.710552, -0.060702, 0.013194
0.710790, -0.057846, 0.013522
0.711017, -0.054992, 0.013806
0.711231, -0.052142, 0.014044
0.711434, -0.049296, 0.014232
0.711625, -0.046457, 0.014369
0.711804, -0.043627, 0.014452
0.711972, -0.040807, 0.014478
0.712127, -0.038001, 0.014444
0.712270, -0.035215, 0.014348
0.712401, -0.032454, 0.014183
0.712520, -0.029723, 0.013946
0.712628, -0.027032, 0.013632
0.712723, -0.024388, 0.013235
0.712807, -0.021808, 0.012750
0.712879, -0.019310, 0.012173
0.712939, -0.016924, 0.011503
0.712989, -0.014696, 0.010744
0.713027, -0.012699, 0.009919
0.713055, -0.011014, 0.009077
0.713074, -0.009690, 0.008274
0.713087, -0.008706, 0.007551
0.713095, -0.007993, 0.006911
0.713101, -0.007484, 0.006341
0.713105, -0.007131, 0.005823
0.713107, -0.006912, 0.005339
0.713108, -0.006819, 0.004882
0.713107, -0.006851, 0.004409
0.713106, -0.007032, 0.003922
0.713102, -0.007374, 0.003440
0.713097, -0.007887, 0.002960
0.713088, -0.008601, 0.002462
0.713076, -0.009587, 0.001918
0.713056, -0.010944, 0.001307
0.713026, -0.012752, 0.000628
0.712983, -0.014981, -0.000084
0.712926, -0.017495, -0.000787
0.712855, -0.020169, -0.001457
0.712771, -0.022931, -0.002090
0.712675, -0.025747, -0.002687
0.712567, -0.028598, -0.003251
0.712445, -0.031474, -0.003787
0.712311, -0.034369, -0.004297
0.712165, -0.037280, -0.004784
0.712006, -0.040202, -0.005249
0.711835, -0.043133, -0.005696
0.711650, -0.046072, -0.006125
0.711454, -0.049017, -0.006537
0.711244, -0.051969, -0.006934
0.711022, -0.054925, -0.007316
0.710787, -0.057885, -0.007685
0.710540, -0.060848, -0.008041
0.710279, -0.063814, -0.008385
0.710006, -0.066783, -0.008718
0.709721, -0.069755, -0.009040
0.709422, -0.072728, -0.009351
0.709111, -0.075703, -0.009654
0.708787, -0.078678, -0.009947
0.708450, -0.081653, -0.010230
0.708101, -0.084628, -0.010505
0.707739, -0.087602, -0.010771
0.707365, -0.090576, -0.011027
0.706978, -0.093549, -0.011275
0.706578, -0.096523, -0.011514
0.706165, -0.099495, -0.011744
0.705740, -0.102468, -0.011966
0.705302, -0.105439, -0.012180
0.704852, -0.108411, -0.012386
0.704388, -0.111382, -0.012585
0.703912, -0.114354, -0.012776
0.703423, -0.117327, -0.012961
0.702920, -0.120302, -0.013141
0.702404, -0.123276, -0.013316
0.701878, -0.126240, -0.013570
0.701337, -0.129210, -0.013754
0.700784, -0.132178, -0.013933
0.700218, -0.135144, -0.014109
0.699639, -0.138110, -0.014280
0.699046, -0.141078, -0.014450
0.698442, -0.144042, -0.014619
0.697828, -0.146986, -0.014790
0.697218, -0.149854, -0.014957
0.696659, -0.152432, -0.015108
0.696226, -0.154396, -0.015221
0.695930, -0.155723, -0.015297
