x, y, z
0.283990, -0.181353, -0.068921
0.285017, -0.179735, -0.067607
0.286518, -0.177331, -0.065669
0.288455, -0.174163, -0.063136
0.290569, -0.170613, -0.060326
0.292693, -0.166943, -0.057451
0.294781, -0.163228, -0.054574
0.296825, -0.159480, -0.051709
0.298823, -0.155705, -0.048857
0.300771, -0.151907, -0.046028
0.302672, -0.148083, -0.043223
0.304526, -0.144232, -0.040446
0.306335, -0.140350, -0.037697
0.308098, -0.136436, -0.034977
0.309816, -0.132489, -0.032286
0.311488, -0.128508, -0.029626
0.313115, -0.124492, -0.026998
0.314694, -0.120445, -0.024392
0.316224, -0.116369, -0.021805
0.317706, -0.112259, -0.019252
0.319139, -0.108116, -0.016735
0.320524, -0.103940, -0.014257
0.321858, -0.099732, -0.011818
0.323142, -0.095491, -0.009420
0.324374, -0.091218, -0.007064
0.325554, -0.086913, -0.004753
0.326680, -0.082577, -0.002488
0.327753, -0.078210, -0.000271
0.328771, -0.073814, 0.001896
0.329734, -0.069387, 0.004011
0.330640, -0.064933, 0.006072
0.331489, -0.060451, 0.008075
0.332279, -0.055942, 0.010020
0.333011, -0.051408, 0.011902
0.333683, -0.046849, 0.013720
0.334294, -0.042267, 0.015469
0.334844, -0.037664, 0.017146
0.335332, -0.033041, 0.018748
0.335757, -0.028401, 0.020271
0.336118, -0.023746, 0.021711
0.336415, -0.019078, 0.023062
0.336648, -0.014400, 0.024319
0.336816, -0.009716, 0.025478
0.336918, -0.005030, 0.026531
0.336955, -0.000353, 0.027471
0.336928, 0.004309, 0.028289
0.336837, 0.008946, 0.028974
0.336683, 0.013547, 0.029514
0.336469, 0.018097, 0.029899
0.336199, 0.022573, 0.030112
0.335877, 0.026945, 0.030139
0.335511, 0.031163, 0.029966
0.335117, 0.035148, 0.029583
0.334717, 0.038774, 0.029001
0.334342, 0.041886, 0.028265
0.334020, 0.044383, 0.027453
0.333761, 0.046288, 0.026639
0.333561, 0.047712, 0.025856
0.333407, 0.048773, 0.025110
0.333292, 0.049557, 0.024386
0.333209, 0.050106, 0.023668
0.333160, 0.050436, 0.022945
0.333139, 0.050569, 0.022146
0.333156, 0.050462, 0.021265
0.333212, 0.050087, 0.020329
0.333310, 0.049431, 0.019329
0.333454, 0.048450, 0.018217
0.333656, 0.047040, 0.016923
0.333931, 0.045043, 0.015372
0.334287, 0.042326, 0.013530
0.334700, 0.038926, 0.011466
0.335128, 0.035046, 0.009304
0.335537, 0.030882, 0.007133
0.335908, 0.026552, 0.004990
0.336229, 0.022115, 0.002886
0.336496, 0.017600, 0.000821
0.336704, 0.013029, -0.001206
0.336851, 0.008413, -0.003199
0.336935, 0.003761, -0.005158
0.336954, -0.000921, -0.007088
0.336909, -0.005628, -0.008990
0.336796, -0.010354, -0.010865
0.336617, -0.015097, -0.012716
0.336370, -0.019855, -0.014543
0.336055, -0.024623, -0.016350
0.335671, -0.029399, -0.018135
0.335217, -0.034182, -0.019901
0.334695, -0.038969, -0.021648
0.334102, -0.043759, -0.023379
0.333440, -0.048550, -0.025092
0.332707, -0.053341, -0.026790
0.331904, -0.058128, -0.028473
0.331031, -0.062911, -0.030142
0.330087, -0.067686, -0.031796
0.329074, -0.072451, -0.033435
0.327991, -0.077206, -0.035059
0.326838, -0.081951, -0.036669
0.325615, -0.086684, -0.038264
0.324321, -0.091405, -0.039846
0.322958, -0.096111, -0.041414
0.321524, -0.100802, -0.042968
0.320021, -0.105477, -0.044510
0.318448, -0.110135, -0.046038
0.316805, -0.114775, -0.047556
0.315092, -0.119398, -0.049062
0.313309, -0.124002, -0.050559
0.311456, -0.128587, -0.052049
0.309532, -0.133149, -0.053532
0.307562, -0.137641, -0.055142
0.305507, -0.142142, -0.056640
0.303387, -0.146614, -0.058130
0.301199, -0.151056, -0.059614
0.298944, -0.155472, -0.061092
0.296620, -0.159861, -0.062569
0.294234, -0.164212, -0.064045
0.291797, -0.168503, -0.065515
0.289362, -0.172651, -0.066951
0.287122, -0.176352, -0.068242
0.285381, -0.179156, -0.069226
0.284189, -0.181041, -0.069889
