x, y, z
0.714482, -0.154776, -0.013654
0.714741, -0.153572, -0.013186
0.715122, -0.151790, -0.012498
0.715614, -0.149455, -0.011599
0.716151, -0.146857, -0.010605
0.716693, -0.144189, -0.009588
0.717227, -0.141507, -0.008574
0.717752, -0.138821, -0.007566
0.718267, -0.136134, -0.006567
0.718770, -0.133449, -0.005579
0.719264, -0.130764, -0.004606
0.719747, -0.128080, -0.003648
0.720220, -0.125392, -0.002707
0.720683, -0.122701, -0.001783
0.721137, -0.120006, -0.000877
0.721581, -0.117306, 0.000011
0.722015, -0.114600, 0.000879
0.722440, -0.111890, 0.001733
0.722856, -0.109175, 0.002576
0.723261, -0.106456, 0.003397
0.723657, -0.103731, 0.004197
0.724043, -0.101001, 0.004973
0.724419, -0.098266, 0.005726
0.724786, -0.095527, 0.006454
0.725142, -0.092784, 0.007156
0.725488, -0.090036, 0.007832
0.725824, -0.087283, 0.008480
0.726151, -0.084527, 0.009099
0.726467, -0.081767, 0.009689
0.726772, -0.079004, 0.010248
0.727068, -0.076239, 0.010774
0.727352, -0.073471, 0.011268
0.727627, -0.070700, 0.011726
0.727891, -0.067929, 0.012148
0.728144, -0.065158, 0.012532
0.728387, -0.062386, 0.012877
0.728619, -0.059616, 0.013180
0.728840, -0.056848, 0.013440
0.729050, -0.054084, 0.013655
0.729250, -0.051325, 0.013823
0.729438, -0.048572, 0.013941
0.729616, -0.045828, 0.014006
0.729782, -0.043094, 0.014016
0.729938, -0.040375, 0.013969
0.730082, -0.037674, 0.013861
0.730215, -0.034999, 0.013687
0.730337, -0.032354, 0.013443
0.730448, -0.029746, 0.013124
0.730548, -0.027186, 0.012725
0.730637, -0.024687, 0.012242
0.730714, -0.022269, 0.011669
0.730781, -0.019959, 0.011006
0.730837, -0.017805, 0.010259
0.730881, -0.015873, 0.009449
0.730915, -0.014244, 0.008623
0.730939, -0.012965, 0.007839
0.730955, -0.012015, 0.007132
0.730966, -0.011327, 0.006508
0.730973, -0.010836, 0.005953
0.730978, -0.010497, 0.005448
0.730981, -0.010287, 0.004978
0.730983, -0.010200, 0.004535
0.730982, -0.010233, 0.004077
0.730980, -0.010411, 0.003605
0.730975, -0.010745, 0.003140
0.730967, -0.011245, 0.002678
0.730956, -0.011940, 0.002198
0.730940, -0.012898, 0.001676
0.730915, -0.014217, 0.001091
0.730879, -0.015973, 0.000443
0.730829, -0.018137, -0.000236
0.730764, -0.020578, -0.000904
0.730686, -0.023173, -0.001540
0.730596, -0.025854, -0.002139
0.730495, -0.028587, -0.002703
0.730381, -0.031353, -0.003235
0.730256, -0.034144, -0.003739
0.730119, -0.036953, -0.004218
0.729971, -0.039776, -0.004675
0.729811, -0.042611, -0.005111
0.729639, -0.045455, -0.005528
0.729456, -0.048306, -0.005928
0.729261, -0.051163, -0.006312
0.729055, -0.054027, -0.006681
0.728837, -0.056894, -0.007036
0.728607, -0.059765, -0.007378
0.728365, -0.062640, -0.007708
0.728112, -0.065517, -0.008026
0.727847, -0.068397, -0.008333
0.727571, -0.071279, -0.008629
0.727282, -0.074163, -0.008915
0.726982, -0.077048, -0.009193
0.726670, -0.079935, -0.009461
0.726347, -0.082821, -0.009720
0.726012, -0.085706, -0.009971
0.725666, -0.088591, -0.010213
0.725308, -0.091476, -0.010446
0.724938, -0.094361, -0.010670
0.724557, -0.097245, -0.010885
0.724164, -0.100129, -0.011093
0.723760, -0.103013, -0.011293
0.723343, -0.105896, -0.011484
0.722915, -0.108779, -0.011668
0.722476, -0.111662, -0.011844
0.722024, -0.114546, -0.012014
0.721561, -0.117431, -0.012178
0.721085, -0.120317, -0.012336
0.720597, -0.123204, -0.012490
0.720100, -0.126080, -0.012720
0.719589, -0.128963, -0.012883
0.719067, -0.131844, -0.013041
0.718533, -0.134722, -0.013195
0.717987, -0.137602, -0.013345
0.717429, -0.140483, -0.013494
0.716859, -0.143361, -0.013642
0.716282, -0.146220, -0.013792
0.715707, -0.149005, -0.013938
0.715182, -0.151508, -0.014070
0.714775, -0.153415, -0.014170
0.714497, -0.154704, -0.014237
