x, y, z
0.144786, -0.154257, -0.108989
0.145989, -0.153118, -0.107246
0.147752, -0.151417, -0.104671
0.150035, -0.149156, -0.101305
0.152534, -0.146599, -0.097569
0.155056, -0.143929, -0.093742
0.157544, -0.141201, -0.089909
0.159991, -0.138422, -0.086086
0.162393, -0.135597, -0.082277
0.164746, -0.132727, -0.078490
0.167053, -0.129813, -0.074729
0.169314, -0.126849, -0.070995
0.171531, -0.123835, -0.067286
0.173704, -0.120768, -0.063606
0.175832, -0.117648, -0.059952
0.177915, -0.114473, -0.056327
0.179953, -0.111243, -0.052730
0.181940, -0.107963, -0.049154
0.183873, -0.104635, -0.045594
0.185757, -0.101253, -0.042066
0.187590, -0.097816, -0.038572
0.189369, -0.094325, -0.035112
0.191094, -0.090779, -0.031690
0.192763, -0.087179, -0.028305
0.194375, -0.083525, -0.024960
0.195926, -0.079817, -0.021656
0.197417, -0.076056, -0.018396
0.198845, -0.072241, -0.015180
0.200208, -0.068373, -0.012012
0.201504, -0.064453, -0.008892
0.202731, -0.060481, -0.005824
0.203888, -0.056459, -0.002811
0.204972, -0.052386, 0.000146
0.205982, -0.048265, 0.003044
0.206914, -0.044095, 0.005879
0.207768, -0.039879, 0.008648
0.208541, -0.035618, 0.011347
0.209231, -0.031313, 0.013973
0.209835, -0.026966, 0.016521
0.210352, -0.022580, 0.018987
0.210780, -0.018157, 0.021365
0.211117, -0.013700, 0.023649
0.211360, -0.009211, 0.025834
0.211509, -0.004697, 0.027913
0.211561, -0.000165, 0.029875
0.211515, 0.004378, 0.031710
0.211373, 0.008923, 0.033405
0.211132, 0.013460, 0.034946
0.210796, 0.017976, 0.036319
0.210366, 0.022450, 0.037503
0.209850, 0.026852, 0.038477
0.209257, 0.031134, 0.039216
0.208609, 0.035219, 0.039694
0.207939, 0.038979, 0.039892
0.207299, 0.042250, 0.039824
0.206738, 0.044916, 0.039546
0.206277, 0.046987, 0.039136
0.205910, 0.048570, 0.038655
0.205620, 0.049782, 0.038130
0.205393, 0.050713, 0.037569
0.205220, 0.051408, 0.036962
0.205099, 0.051888, 0.036302
0.205023, 0.052187, 0.035523
0.205003, 0.052265, 0.034607
0.205048, 0.052089, 0.033577
0.205160, 0.051648, 0.032421
0.205345, 0.050907, 0.031082
0.205621, 0.049778, 0.029465
0.206016, 0.048119, 0.027458
0.206543, 0.045801, 0.025002
0.207177, 0.042847, 0.022172
0.207854, 0.039428, 0.019141
0.208523, 0.035721, 0.016040
0.209152, 0.031835, 0.012932
0.209723, 0.027825, 0.009840
0.210226, 0.023724, 0.006774
0.210655, 0.019552, 0.003733
0.211005, 0.015321, 0.000719
0.211272, 0.011041, -0.002270
0.211454, 0.006722, -0.005235
0.211547, 0.002369, -0.008177
0.211551, -0.002013, -0.011096
0.211463, -0.006417, -0.013995
0.211283, -0.010842, -0.016874
0.211008, -0.015281, -0.019734
0.210639, -0.019731, -0.022577
0.210173, -0.024189, -0.025402
0.209612, -0.028652, -0.028211
0.208953, -0.033116, -0.031005
0.208196, -0.037579, -0.033784
0.207342, -0.042037, -0.036550
0.206390, -0.046487, -0.039302
0.205340, -0.050926, -0.042042
0.204192, -0.055350, -0.044767
0.202946, -0.059755, -0.047479
0.201603, -0.064141, -0.050176
0.200163, -0.068504, -0.052860
0.198624, -0.072845, -0.055531
0.196989, -0.077159, -0.058189
0.195256, -0.081444, -0.060835
0.193427, -0.085697, -0.063468
0.191502, -0.089917, -0.066089
0.189481, -0.094101, -0.068698
0.187364, -0.098249, -0.071297
0.185152, -0.102356, -0.073887
0.182845, -0.106423, -0.076469
0.180443, -0.110445, -0.079045
0.177950, -0.114420, -0.081616
0.175410, -0.118276, -0.084306
0.172747, -0.122132, -0.086890
0.169999, -0.125930, -0.089468
0.167164, -0.129670, -0.092039
0.164242, -0.133351, -0.094606
0.161233, -0.136974, -0.097174
0.158147, -0.140526, -0.099740
0.155001, -0.143988, -0.102294
0.151862, -0.147295, -0.104787
0.148979, -0.150211, -0.107028
0.146741, -0.152398, -0.108736
0.145210, -0.153857, -0.109889
