x, y, z
0.621187, -0.160097, -0.019592
0.621537, -0.158733, -0.019009
0.622049, -0.156715, -0.018149
0.622709, -0.154069, -0.017027
0.623431, -0.151123, -0.015785
0.624157, -0.148097, -0.014515
0.624871, -0.145054, -0.013247
0.625571, -0.142005, -0.011987
0.626256, -0.138953, -0.010737
0.626925, -0.135901, -0.009500
0.627579, -0.132850, -0.008280
0.628218, -0.129795, -0.007077
0.628842, -0.126737, -0.005894
0.629452, -0.123673, -0.004731
0.630047, -0.120602, -0.003588
0.630629, -0.117524, -0.002467
0.631196, -0.114438, -0.001368
0.631749, -0.111345, -0.000285
0.632287, -0.108247, 0.000785
0.632811, -0.105140, 0.001830
0.633321, -0.102026, 0.002850
0.633815, -0.098905, 0.003844
0.634296, -0.095777, 0.004810
0.634761, -0.092642, 0.005748
0.635212, -0.089501, 0.006657
0.635647, -0.086352, 0.007534
0.636068, -0.083198, 0.008380
0.636473, -0.080037, 0.009193
0.636864, -0.076870, 0.009971
0.637238, -0.073698, 0.010714
0.637598, -0.070521, 0.011419
0.637942, -0.067340, 0.012086
0.638270, -0.064155, 0.012713
0.638582, -0.060967, 0.013298
0.638879, -0.057777, 0.013839
0.639159, -0.054585, 0.014334
0.639424, -0.051393, 0.014782
0.639672, -0.048202, 0.015179
0.639905, -0.045013, 0.015524
0.640121, -0.041828, 0.015815
0.640321, -0.038649, 0.016047
0.640504, -0.035478, 0.016218
0.640671, -0.032317, 0.016326
0.640822, -0.029169, 0.016366
0.640957, -0.026043, 0.016335
0.641076, -0.022942, 0.016227
0.641178, -0.019874, 0.016037
0.641265, -0.016847, 0.015759
0.641336, -0.013873, 0.015388
0.641392, -0.010966, 0.014916
0.641434, -0.008149, 0.014338
0.641463, -0.005455, 0.013653
0.641479, -0.002938, 0.012864
0.641486, -0.000675, 0.011995
0.641485, 0.001237, 0.011097
0.641480, 0.002742, 0.010234
0.641474, 0.003866, 0.009451
0.641469, 0.004683, 0.008754
0.641464, 0.005269, 0.008129
0.641461, 0.005679, 0.007557
0.641458, 0.005938, 0.007021
0.641457, 0.006055, 0.006511
0.641458, 0.006032, 0.005981
0.641459, 0.005843, 0.005430
0.641463, 0.005473, 0.004880
0.641467, 0.004911, 0.004328
0.641473, 0.004124, 0.003750
0.641479, 0.003035, 0.003113
0.641484, 0.001530, 0.002390
0.641486, -0.000478, 0.001580
0.641479, -0.002957, 0.000720
0.641460, -0.005755, -0.000138
0.641427, -0.008735, -0.000963
0.641377, -0.011815, -0.001749
0.641312, -0.014955, -0.002496
0.641230, -0.018136, -0.003207
0.641131, -0.021347, -0.003887
0.641015, -0.024579, -0.004539
0.640882, -0.027829, -0.005166
0.640732, -0.031092, -0.005769
0.640565, -0.034367, -0.006350
0.640380, -0.037651, -0.006912
0.640178, -0.040942, -0.007456
0.639959, -0.044240, -0.007983
0.639722, -0.047544, -0.008493
0.639467, -0.050852, -0.008989
0.639195, -0.054163, -0.009471
0.638906, -0.057479, -0.009939
0.638598, -0.060797, -0.010394
0.638274, -0.064118, -0.010837
0.637931, -0.067441, -0.011269
0.637571, -0.070766, -0.011691
0.637193, -0.074091, -0.012102
0.636798, -0.077416, -0.012503
0.636385, -0.080739, -0.012894
0.635954, -0.084062, -0.013275
0.635506, -0.087384, -0.013645
0.635041, -0.090706, -0.014006
0.634557, -0.094027, -0.014357
0.634057, -0.097347, -0.014698
0.633538, -0.100666, -0.015030
0.633002, -0.103984, -0.015353
0.632448, -0.107301, -0.015667
0.631877, -0.110617, -0.015972
0.631287, -0.113933, -0.016270
0.630680, -0.117250, -0.016561
0.630054, -0.120568, -0.016846
0.629410, -0.123885, -0.017126
0.628751, -0.127186, -0.017494
0.628072, -0.130497, -0.017784
0.627376, -0.133803, -0.018069
0.626663, -0.137106, -0.018349
0.625931, -0.140408, -0.018625
0.625181, -0.143712, -0.018899
0.624414, -0.147009, -0.019172
0.623634, -0.150285, -0.019446
0.622857, -0.153473, -0.019715
0.622144, -0.156338, -0.019957
0.621591, -0.158520, -0.020140
0.621213, -0.159994, -0.020263
