x, y, z
0.106016, -0.066158, -0.023140
0.106308, -0.065688, -0.022682
0.106597, -0.065217, -0.022224
0.106885, -0.064744, -0.021767
0.107171, -0.064270, -0.021311
0.107738, -0.063315, -0.020403
0.108298, -0.062352, -0.019502
0.108851, -0.061382, -0.018607
0.109397, -0.060404, -0.017719
0.109935, -0.059418, -0.016837
0.110466, -0.058425, -0.015962
0.110990, -0.057424, -0.015093
0.111506, -0.056415, -0.014232
0.112015, -0.055398, -0.013377
0.112515, -0.054374, -0.012530
0.113008, -0.053342, -0.011691
0.113493, -0.052302, -0.010859
0.113970, -0.051254, -0.010034
0.114440, -0.050197, -0.009219
0.114901, -0.049132, -0.008413
0.115354, -0.048059, -0.007616
0.115799, -0.046978, -0.006828
0.116235, -0.045887, -0.006050
0.116663, -0.044788, -0.005284
0.117083, -0.043679, -0.004529
0.117494, -0.042561, -0.003785
0.117896, -0.041434, -0.003052
0.118289, -0.040298, -0.002331
0.118673, -0.039153, -0.001621
0.119048, -0.037998, -0.000924
0.119413, -0.036834, -0.000239
0.119769, -0.035659, 0.000431
0.120116, -0.034474, 0.001086
0.120453, -0.033278, 0.001725
0.120779, -0.032071, 0.002349
0.121096, -0.030855, 0.002958
0.121402, -0.029629, 0.003555
0.121696, -0.028394, 0.004141
0.121980, -0.027152, 0.004715
0.122252, -0.025899, 0.005275
0.122513, -0.024634, 0.005813
0.122764, -0.023352, 0.006325
0.123004, -0.022052, 0.006802
0.123233, -0.020731, 0.007241
0.123452, -0.019387, 0.007639
0.123659, -0.018021, 0.007997
0.123853, -0.016633, 0.008312
0.124035, -0.015218, 0.008576
0.124204, -0.013771, 0.008782
0.124359, -0.012289, 0.008918
0.124432, -0.011528, 0.008946
0.124502, -0.010745, 0.008932
0.124570, -0.009933, 0.008857
0.124635, -0.009073, 0.008687
0.124686, -0.008341, 0.008462
0.124711, -0.007964, 0.008327
0.124736, -0.007566, 0.008149
0.124749, -0.007344, 0.008015
0.124756, -0.007218, 0.007916
0.124761, -0.007144, 0.007845
0.124766, -0.007040, 0.007713
0.124773, -0.006928, 0.007405
0.124773, -0.006920, 0.007310
0.124773, -0.006925, 0.007162
0.124771, -0.006967, 0.006931
0.124763, -0.007101, 0.006571
0.124753, -0.007268, 0.006279
0.124729, -0.007667, 0.005826
0.124694, -0.008221, 0.005371
0.124656, -0.008787, 0.004942
0.124613, -0.009366, 0.004538
0.124568, -0.009957, 0.004162
0.124465, -0.011165, 0.003461
0.124350, -0.012385, 0.002787
0.124221, -0.013614, 0.002133
0.124079, -0.014850, 0.001499
0.123924, -0.016094, 0.000881
0.123756, -0.017342, 0.000276
0.123574, -0.018595, -0.000317
0.123378, -0.019849, -0.000901
0.123170, -0.021105, -0.001479
0.122948, -0.022360, -0.002052
0.122713, -0.023615, -0.002622
0.122466, -0.024868, -0.003192
0.122205, -0.026118, -0.003762
0.121932, -0.027364, -0.004332
0.121646, -0.028608, -0.004904
0.121348, -0.029848, -0.005475
0.121037, -0.031086, -0.006047
0.120713, -0.032320, -0.006618
0.120377, -0.033551, -0.007189
0.120028, -0.034779, -0.007760
0.119666, -0.036003, -0.008331
0.119292, -0.037223, -0.008902
0.118906, -0.038439, -0.009473
0.118507, -0.039651, -0.010044
0.118096, -0.040860, -0.010615
0.117673, -0.042063, -0.011186
0.117237, -0.043263, -0.011757
0.116789, -0.044458, -0.012328
0.116329, -0.045648, -0.012899
0.115857, -0.046834, -0.013470
0.115373, -0.048014, -0.014041
0.114876, -0.049190, -0.014612
0.114368, -0.050361, -0.015183
0.113848, -0.051526, -0.015754
0.113316, -0.052686, -0.016325
0.112772, -0.053840, -0.016896
0.112216, -0.054989, -0.017467
0.111645, -0.056139, -0.018024
0.111066, -0.057277, -0.018592
0.110474, -0.058409, -0.019161
0.109872, -0.059536, -0.019729
0.109257, -0.060656, -0.020298
0.108631, -0.061769, -0.020866
0.107994, -0.062876, -0.021435
0.107346, -0.063977, -0.022003
0.107018, -0.064525, -0.022288
0.106686, -0.065071, -0.022572
0.106353, -0.065615, -0.022856
0.106016, -0.066158, -0.023140
