x, y, z
0.032872, -0.039829, -0.048905
0.033179, -0.039574, -0.048121
0.033484, -0.039316, -0.047336
0.033788, -0.039056, -0.046553
0.034090, -0.038792, -0.045770
0.034692, -0.038255, -0.044208
0.035291, -0.037703, -0.042653
0.035885, -0.037137, -0.041103
0.036476, -0.036558, -0.039559
0.037061, -0.035964, -0.038020
0.037642, -0.035356, -0.036488
0.038218, -0.034733, -0.034961
0.038787, -0.034095, -0.033440
0.039352, -0.033442, -0.031926
0.039910, -0.032774, -0.030419
0.040461, -0.032091, -0.028918
0.041005, -0.031393, -0.027423
0.041542, -0.030678, -0.025935
0.042073, -0.029947, -0.024456
0.042596, -0.029198, -0.022984
0.043110, -0.028433, -0.021521
0.043616, -0.027651, -0.020065
0.044114, -0.026850, -0.018619
0.044602, -0.026030, -0.017183
0.045081, -0.025192, -0.015757
0.045550, -0.024334, -0.014340
0.046008, -0.023457, -0.012934
0.046454, -0.022561, -0.011538
0.046887, -0.021645, -0.010151
0.047308, -0.020710, -0.008776
0.047715, -0.019753, -0.007412
0.048109, -0.018775, -0.006061
0.048487, -0.017774, -0.004723
0.048851, -0.016750, -0.003400
0.049197, -0.015703, -0.002090
0.049525, -0.014635, -0.000792
0.049834, -0.013548, 0.000494
0.050121, -0.012442, 0.001770
0.050387, -0.011319, 0.003037
0.050630, -0.010176, 0.004290
0.050851, -0.009005, 0.005525
0.051050, -0.007802, 0.006735
0.051224, -0.006559, 0.007916
0.051373, -0.005273, 0.009062
0.051492, -0.003940, 0.010172
0.051579, -0.002564, 0.011247
0.051630, -0.001141, 0.012284
0.051641, 0.000335, 0.013276
0.051609, 0.001872, 0.014216
0.051525, 0.003480, 0.015094
0.051461, 0.004324, 0.015498
0.051379, 0.005211, 0.015864
0.051274, 0.006158, 0.016177
0.051138, 0.007203, 0.016405
0.050999, 0.008126, 0.016510
0.050920, 0.008610, 0.016542
0.050828, 0.009138, 0.016536
0.050771, 0.009447, 0.016493
0.050736, 0.009635, 0.016443
0.050714, 0.009751, 0.016399
0.050679, 0.009928, 0.016302
0.050625, 0.010200, 0.016010
0.050614, 0.010254, 0.015907
0.050601, 0.010319, 0.015738
0.050588, 0.010383, 0.015458
0.050583, 0.010406, 0.014988
0.050593, 0.010361, 0.014578
0.050638, 0.010136, 0.013873
0.050715, 0.009741, 0.013091
0.050795, 0.009319, 0.012333
0.050875, 0.008871, 0.011597
0.050956, 0.008393, 0.010884
0.051112, 0.007383, 0.009506
0.051252, 0.006342, 0.008151
0.051372, 0.005278, 0.006815
0.051472, 0.004191, 0.005495
0.051550, 0.003085, 0.004190
0.051605, 0.001963, 0.002897
0.051636, 0.000829, 0.001615
0.051642, -0.000314, 0.000339
0.051622, -0.001464, -0.000930
0.051576, -0.002619, -0.002195
0.051504, -0.003775, -0.003458
0.051407, -0.004930, -0.004720
0.051283, -0.006082, -0.005982
0.051134, -0.007230, -0.007245
0.050959, -0.008374, -0.008509
0.050759, -0.009513, -0.009773
0.050533, -0.010648, -0.011037
0.050282, -0.011777, -0.012300
0.050005, -0.012901, -0.013564
0.049703, -0.014018, -0.014827
0.049377, -0.015129, -0.016090
0.049025, -0.016232, -0.017354
0.048649, -0.017326, -0.018617
0.048249, -0.018412, -0.019880
0.047824, -0.019489, -0.021144
0.047375, -0.020556, -0.022407
0.046903, -0.021612, -0.023671
0.046406, -0.022658, -0.024934
0.045887, -0.023692, -0.026197
0.045345, -0.024715, -0.027461
0.044779, -0.025725, -0.028724
0.044192, -0.026722, -0.029988
0.043582, -0.027705, -0.031251
0.042950, -0.028675, -0.032514
0.042296, -0.029630, -0.033778
0.041622, -0.030571, -0.035041
0.040926, -0.031496, -0.036305
0.040200, -0.032417, -0.037555
0.039462, -0.033312, -0.038816
0.038704, -0.034190, -0.040077
0.037926, -0.035051, -0.041338
0.037129, -0.035894, -0.042599
0.036314, -0.036719, -0.043861
0.035480, -0.037525, -0.045122
0.034628, -0.038313, -0.046383
0.034195, -0.038699, -0.047014
0.033759, -0.039081, -0.047644
0.033318, -0.039457, -0.048275
0.032872, -0.039829, -0.048905
