x, y, z
0.030020, -0.034235, -0.047730
0.030263, -0.034020, -0.046979
0.030505, -0.033803, -0.046229
0.030745, -0.033584, -0.045480
0.030985, -0.033363, -0.044731
0.031464, -0.032912, -0.043237
0.031941, -0.032450, -0.041749
0.032415, -0.031975, -0.040265
0.032887, -0.031490, -0.038786
0.033357, -0.030992, -0.037312
0.033823, -0.030483, -0.035843
0.034286, -0.029961, -0.034379
0.034745, -0.029427, -0.032921
0.035201, -0.028880, -0.031468
0.035653, -0.028320, -0.030020
0.036101, -0.027748, -0.028578
0.036543, -0.027162, -0.027142
0.036981, -0.026563, -0.025711
0.037415, -0.025948, -0.024288
0.037843, -0.025320, -0.022872
0.038266, -0.024677, -0.021462
0.038682, -0.024018, -0.020059
0.039093, -0.023343, -0.018665
0.039498, -0.022652, -0.017278
0.039896, -0.021943, -0.015901
0.040286, -0.021218, -0.014532
0.040669, -0.020475, -0.013171
0.041043, -0.019715, -0.011819
0.041407, -0.018938, -0.010476
0.041762, -0.018142, -0.009142
0.042106, -0.017328, -0.007818
0.042440, -0.016493, -0.006504
0.042763, -0.015638, -0.005203
0.043073, -0.014761, -0.003913
0.043371, -0.013863, -0.002635
0.043653, -0.012945, -0.001368
0.043920, -0.012009, -0.000111
0.044169, -0.011056, 0.001138
0.044401, -0.010088, 0.002378
0.044614, -0.009099, 0.003607
0.044809, -0.008085, 0.004820
0.044985, -0.007040, 0.006013
0.045141, -0.005957, 0.007180
0.045275, -0.004831, 0.008317
0.045385, -0.003661, 0.009423
0.045466, -0.002447, 0.010499
0.045517, -0.001189, 0.011542
0.045532, 0.000121, 0.012547
0.045508, 0.001492, 0.013507
0.045438, 0.002931, 0.014414
0.045382, 0.003690, 0.014837
0.045310, 0.004491, 0.015228
0.045217, 0.005351, 0.015574
0.045093, 0.006306, 0.015846
0.044966, 0.007156, 0.015997
0.044893, 0.007603, 0.016055
0.044807, 0.008092, 0.016080
0.044754, 0.008381, 0.016059
0.044721, 0.008558, 0.016024
0.044700, 0.008668, 0.015989
0.044666, 0.008838, 0.015910
0.044612, 0.009106, 0.015656
0.044601, 0.009162, 0.015563
0.044587, 0.009231, 0.015410
0.044571, 0.009306, 0.015155
0.044561, 0.009355, 0.014720
0.044565, 0.009336, 0.014338
0.044600, 0.009168, 0.013671
0.044665, 0.008847, 0.012924
0.044732, 0.008499, 0.012196
0.044801, 0.008126, 0.011487
0.044872, 0.007725, 0.010799
0.045011, 0.006868, 0.009463
0.045138, 0.005983, 0.008146
0.045249, 0.005074, 0.006846
0.045343, 0.004144, 0.005560
0.045420, 0.003195, 0.004286
0.045478, 0.002231, 0.003023
0.045515, 0.001254, 0.001769
0.045531, 0.000269, 0.000521
0.045526, -0.000724, -0.000722
0.045500, -0.001721, -0.001961
0.045451, -0.002720, -0.003199
0.045380, -0.003719, -0.004435
0.045287, -0.004715, -0.005672
0.045173, -0.005708, -0.006910
0.045037, -0.006698, -0.008148
0.044879, -0.007685, -0.009386
0.044700, -0.008667, -0.010624
0.044499, -0.009646, -0.011862
0.044276, -0.010620, -0.013100
0.044033, -0.011590, -0.014338
0.043768, -0.012554, -0.015575
0.043481, -0.013511, -0.016813
0.043174, -0.014463, -0.018051
0.042846, -0.015407, -0.019289
0.042498, -0.016343, -0.020527
0.042129, -0.017272, -0.021764
0.041740, -0.018193, -0.023002
0.041330, -0.019105, -0.024240
0.040901, -0.020007, -0.025478
0.040452, -0.020900, -0.026716
0.039984, -0.021783, -0.027953
0.039496, -0.022655, -0.029191
0.038989, -0.023517, -0.030429
0.038463, -0.024367, -0.031667
0.037919, -0.025205, -0.032905
0.037357, -0.026032, -0.034142
0.036777, -0.026845, -0.035380
0.036169, -0.027658, -0.036607
0.035552, -0.028447, -0.037842
0.034917, -0.029223, -0.039078
0.034266, -0.029984, -0.040314
0.033598, -0.030731, -0.041550
0.032913, -0.031463, -0.042786
0.032213, -0.032179, -0.044022
0.031497, -0.032880, -0.045258
0.031133, -0.033225, -0.045876
0.030766, -0.033566, -0.046494
0.030395, -0.033902, -0.047112
0.030020, -0.034235, -0.047730
