x, y, z
0.078253, -0.063100, -0.032525
0.078634, -0.062624, -0.031921
0.079013, -0.062145, -0.031317
0.079389, -0.061664, -0.030714
0.079763, -0.061180, -0.030112
0.080503, -0.060203, -0.028914
0.081234, -0.059213, -0.027723
0.081955, -0.058210, -0.026540
0.082667, -0.057195, -0.025364
0.083368, -0.056168, -0.024195
0.084059, -0.055128, -0.023034
0.084740, -0.054076, -0.021880
0.085410, -0.053011, -0.020735
0.086069, -0.051934, -0.019597
0.086718, -0.050844, -0.018468
0.087355, -0.049742, -0.017347
0.087980, -0.048627, -0.016235
0.088594, -0.047500, -0.015131
0.089196, -0.046359, -0.014039
0.089787, -0.045205, -0.012956
0.090365, -0.044038, -0.011884
0.090931, -0.042857, -0.010822
0.091484, -0.041663, -0.009772
0.092025, -0.040454, -0.008735
0.092552, -0.039232, -0.007710
0.093067, -0.037995, -0.006699
0.093568, -0.036745, -0.005700
0.094055, -0.035480, -0.004714
0.094527, -0.034201, -0.003741
0.094985, -0.032909, -0.002782
0.095428, -0.031601, -0.001838
0.095856, -0.030278, -0.000910
0.096268, -0.028939, 0.000001
0.096665, -0.027584, 0.000893
0.097046, -0.026214, 0.001768
0.097410, -0.024828, 0.002627
0.097756, -0.023429, 0.003471
0.098083, -0.022018, 0.004302
0.098392, -0.020594, 0.005121
0.098682, -0.019156, 0.005923
0.098954, -0.017700, 0.006701
0.099207, -0.016221, 0.007448
0.099441, -0.014716, 0.008157
0.099656, -0.013180, 0.008821
0.099851, -0.011613, 0.009438
0.100024, -0.010016, 0.010011
0.100174, -0.008387, 0.010534
0.100299, -0.006720, 0.011001
0.100399, -0.005011, 0.011399
0.100471, -0.003253, 0.011719
0.100497, -0.002345, 0.011833
0.100514, -0.001409, 0.011899
0.100523, -0.000430, 0.011897
0.100522, 0.000615, 0.011785
0.100513, 0.001512, 0.011596
0.100505, 0.001976, 0.011475
0.100494, 0.002470, 0.011305
0.100487, 0.002748, 0.011169
0.100482, 0.002909, 0.011064
0.100479, 0.003005, 0.010987
0.100475, 0.003142, 0.010842
0.100470, 0.003309, 0.010487
0.100469, 0.003328, 0.010374
0.100469, 0.003338, 0.010198
0.100470, 0.003312, 0.009918
0.100473, 0.003191, 0.009475
0.100479, 0.003022, 0.009110
0.100491, 0.002594, 0.008528
0.100505, 0.001982, 0.007928
0.100515, 0.001351, 0.007357
0.100522, 0.000704, 0.006815
0.100524, 0.000037, 0.006304
0.100515, -0.001332, 0.005342
0.100487, -0.002719, 0.004409
0.100440, -0.004120, 0.003500
0.100372, -0.005534, 0.002612
0.100283, -0.006957, 0.001744
0.100173, -0.008389, 0.000891
0.100043, -0.009827, 0.000051
0.099890, -0.011269, -0.000779
0.099717, -0.012713, -0.001601
0.099522, -0.014157, -0.002419
0.099306, -0.015601, -0.003233
0.099069, -0.017042, -0.004046
0.098811, -0.018478, -0.004859
0.098533, -0.019911, -0.005674
0.098233, -0.021339, -0.006489
0.097913, -0.022762, -0.007305
0.097573, -0.024180, -0.008120
0.097211, -0.025593, -0.008935
0.096830, -0.027002, -0.009750
0.096428, -0.028404, -0.010565
0.096005, -0.029801, -0.011380
0.095563, -0.031191, -0.012195
0.095100, -0.032575, -0.013010
0.094617, -0.033952, -0.013825
0.094114, -0.035321, -0.014640
0.093592, -0.036684, -0.015454
0.093049, -0.038038, -0.016269
0.092488, -0.039385, -0.017084
0.091906, -0.040723, -0.017899
0.091306, -0.042052, -0.018714
0.090686, -0.043373, -0.019529
0.090047, -0.044685, -0.020344
0.089388, -0.045987, -0.021159
0.088712, -0.047279, -0.021974
0.088016, -0.048562, -0.022789
0.087302, -0.049834, -0.023604
0.086570, -0.051096, -0.024419
0.085813, -0.052356, -0.025217
0.085044, -0.053597, -0.026029
0.084256, -0.054828, -0.026841
0.083450, -0.056046, -0.027653
0.082627, -0.057253, -0.028465
0.081786, -0.058447, -0.029277
0.080928, -0.059630, -0.030089
0.080053, -0.060799, -0.030901
0.079609, -0.061379, -0.031307
0.079161, -0.061956, -0.031713
0.078709, -0.062530, -0.032119
0.078253, -0.063100, -0.032525
