x, y, z
0.031376, -0.037098, -0.048501
0.031652, -0.036863, -0.047731
0.031927, -0.036625, -0.046961
0.032200, -0.036385, -0.046192
0.032472, -0.036143, -0.045423
0.033014, -0.035648, -0.043890
0.033554, -0.035140, -0.042362
0.034091, -0.034620, -0.040840
0.034624, -0.034087, -0.039323
0.035154, -0.033540, -0.037811
0.035679, -0.032981, -0.036305
0.036201, -0.032408, -0.034804
0.036717, -0.031821, -0.033309
0.037229, -0.031220, -0.031820
0.037736, -0.030605, -0.030337
0.038238, -0.029976, -0.028860
0.038734, -0.029333, -0.027389
0.039223, -0.028676, -0.025925
0.039707, -0.028001, -0.024468
0.040185, -0.027312, -0.023019
0.040655, -0.026606, -0.021577
0.041119, -0.025884, -0.020142
0.041575, -0.025145, -0.018717
0.042023, -0.024388, -0.017300
0.042464, -0.023613, -0.015893
0.042895, -0.022819, -0.014495
0.043317, -0.022007, -0.013106
0.043729, -0.021177, -0.011727
0.044130, -0.020329, -0.010357
0.044519, -0.019462, -0.008997
0.044897, -0.018574, -0.007648
0.045262, -0.017665, -0.006311
0.045614, -0.016735, -0.004986
0.045953, -0.015782, -0.003675
0.046276, -0.014807, -0.002376
0.046583, -0.013811, -0.001089
0.046872, -0.012797, 0.000188
0.047142, -0.011765, 0.001455
0.047391, -0.010716, 0.002713
0.047620, -0.009647, 0.003959
0.047829, -0.008552, 0.005188
0.048017, -0.007424, 0.006394
0.048183, -0.006258, 0.007572
0.048324, -0.005048, 0.008718
0.048439, -0.003793, 0.009831
0.048523, -0.002494, 0.010910
0.048574, -0.001150, 0.011955
0.048587, 0.000248, 0.012957
0.048557, 0.001706, 0.013911
0.048480, 0.003235, 0.014808
0.048419, 0.004039, 0.015223
0.048341, 0.004885, 0.015603
0.048241, 0.005792, 0.015934
0.048110, 0.006795, 0.016186
0.047976, 0.007684, 0.016314
0.047899, 0.008152, 0.016360
0.047809, 0.008662, 0.016370
0.047754, 0.008962, 0.016338
0.047719, 0.009145, 0.016295
0.047697, 0.009258, 0.016256
0.047663, 0.009432, 0.016167
0.047609, 0.009703, 0.015893
0.047597, 0.009758, 0.015795
0.047583, 0.009826, 0.015634
0.047569, 0.009895, 0.015365
0.047561, 0.009932, 0.014911
0.047568, 0.009900, 0.014514
0.047609, 0.009703, 0.013826
0.047680, 0.009344, 0.013058
0.047754, 0.008958, 0.012313
0.047830, 0.008547, 0.011587
0.047906, 0.008106, 0.010884
0.048055, 0.007170, 0.009522
0.048190, 0.006205, 0.008181
0.048307, 0.005215, 0.006858
0.048405, 0.004204, 0.005550
0.048484, 0.003174, 0.004256
0.048541, 0.002128, 0.002973
0.048576, 0.001070, 0.001700
0.048587, 0.000002, 0.000433
0.048576, -0.001072, -0.000828
0.048540, -0.002151, -0.002085
0.048480, -0.003232, -0.003340
0.048396, -0.004312, -0.004594
0.048288, -0.005389, -0.005848
0.048156, -0.006463, -0.007103
0.048000, -0.007533, -0.008359
0.047820, -0.008599, -0.009615
0.047617, -0.009660, -0.010871
0.047391, -0.010718, -0.012126
0.047140, -0.011770, -0.013382
0.046867, -0.012816, -0.014637
0.046570, -0.013856, -0.015892
0.046250, -0.014890, -0.017148
0.045907, -0.015915, -0.018403
0.045541, -0.016933, -0.019658
0.045153, -0.017943, -0.020914
0.044742, -0.018943, -0.022169
0.044310, -0.019934, -0.023424
0.043855, -0.020916, -0.024680
0.043379, -0.021887, -0.025935
0.042881, -0.022847, -0.027191
0.042362, -0.023796, -0.028446
0.041821, -0.024733, -0.029701
0.041261, -0.025657, -0.030957
0.040679, -0.026569, -0.032212
0.040078, -0.027468, -0.033468
0.039456, -0.028353, -0.034723
0.038816, -0.029225, -0.035978
0.038146, -0.030094, -0.037221
0.037465, -0.030937, -0.038475
0.036765, -0.031765, -0.039728
0.036048, -0.032578, -0.040981
0.035312, -0.033374, -0.042235
0.034558, -0.034153, -0.043488
0.033788, -0.034916, -0.044741
0.033000, -0.035661, -0.045995
0.032600, -0.036027, -0.046621
0.032196, -0.036389, -0.047248
0.031788, -0.036745, -0.047875
0.031376, -0.037098, -0.048501
