x, y, z
0.041054, -0.048918, -0.047305
0.041446, -0.048587, -0.046515
0.041836, -0.048252, -0.045726
0.042223, -0.047914, -0.044938
0.042608, -0.047571, -0.044151
0.043373, -0.046874, -0.042581
0.044132, -0.046161, -0.041019
0.044884, -0.045430, -0.039464
0.045629, -0.044682, -0.037915
0.046365, -0.043918, -0.036373
0.047093, -0.043136, -0.034838
0.047812, -0.042338, -0.033310
0.048522, -0.041522, -0.031790
0.049224, -0.040688, -0.030277
0.049915, -0.039837, -0.028772
0.050596, -0.038968, -0.027275
0.051266, -0.038082, -0.025786
0.051926, -0.037178, -0.024304
0.052575, -0.036254, -0.022833
0.053212, -0.035312, -0.021372
0.053837, -0.034351, -0.019919
0.054450, -0.033371, -0.018477
0.055051, -0.032371, -0.017045
0.055638, -0.031351, -0.015626
0.056212, -0.030309, -0.014218
0.056772, -0.029248, -0.012822
0.057316, -0.028166, -0.011439
0.057845, -0.027063, -0.010067
0.058358, -0.025940, -0.008707
0.058853, -0.024796, -0.007360
0.059331, -0.023630, -0.006027
0.059790, -0.022441, -0.004710
0.060231, -0.021229, -0.003408
0.060653, -0.019993, -0.002123
0.061053, -0.018734, -0.000855
0.061432, -0.017454, 0.000399
0.061786, -0.016153, 0.001639
0.062116, -0.014834, 0.002867
0.062420, -0.013498, 0.004083
0.062698, -0.012140, 0.005284
0.062951, -0.010756, 0.006462
0.063176, -0.009340, 0.007611
0.063374, -0.007885, 0.008725
0.063543, -0.006387, 0.009797
0.063679, -0.004845, 0.010827
0.063780, -0.003259, 0.011814
0.063842, -0.001629, 0.012755
0.063863, 0.000053, 0.013643
0.063838, 0.001795, 0.014469
0.063761, 0.003605, 0.015221
0.063701, 0.004550, 0.015554
0.063623, 0.005535, 0.015843
0.063523, 0.006580, 0.016068
0.063395, 0.007719, 0.016191
0.063265, 0.008716, 0.016197
0.063191, 0.009236, 0.016176
0.063107, 0.009799, 0.016108
0.063055, 0.010124, 0.016027
0.063024, 0.010319, 0.015953
0.063004, 0.010438, 0.015892
0.062974, 0.010616, 0.015768
0.062930, 0.010874, 0.015427
0.062922, 0.010920, 0.015311
0.062913, 0.010971, 0.015123
0.062907, 0.011008, 0.014818
0.062912, 0.010981, 0.014315
0.062928, 0.010886, 0.013884
0.062982, 0.010568, 0.013161
0.063066, 0.010058, 0.012375
0.063149, 0.009521, 0.011617
0.063231, 0.008959, 0.010885
0.063312, 0.008369, 0.010183
0.063463, 0.007135, 0.008833
0.063592, 0.005871, 0.007510
0.063698, 0.004585, 0.006210
0.063779, 0.003277, 0.004930
0.063833, 0.001951, 0.003668
0.063860, 0.000611, 0.002420
0.063859, -0.000741, 0.001184
0.063828, -0.002102, -0.000043
0.063769, -0.003468, -0.001263
0.063679, -0.004837, -0.002477
0.063561, -0.006206, -0.003689
0.063412, -0.007574, -0.004900
0.063234, -0.008938, -0.006112
0.063027, -0.010297, -0.007324
0.062791, -0.011650, -0.008537
0.062526, -0.012998, -0.009750
0.062232, -0.014340, -0.010964
0.061909, -0.015675, -0.012177
0.061558, -0.017003, -0.013389
0.061178, -0.018324, -0.014602
0.060769, -0.019636, -0.015815
0.060333, -0.020939, -0.017027
0.059868, -0.022232, -0.018240
0.059376, -0.023515, -0.019452
0.058856, -0.024787, -0.020665
0.058309, -0.026048, -0.021878
0.057735, -0.027297, -0.023091
0.057135, -0.028532, -0.024303
0.056508, -0.029755, -0.025516
0.055854, -0.030964, -0.026729
0.055175, -0.032159, -0.027941
0.054470, -0.033338, -0.029154
0.053741, -0.034503, -0.030367
0.052986, -0.035651, -0.031579
0.052206, -0.036783, -0.032792
0.051403, -0.037897, -0.034005
0.050576, -0.038994, -0.035217
0.049715, -0.040085, -0.036414
0.048840, -0.041148, -0.037624
0.047942, -0.042191, -0.038834
0.047021, -0.043214, -0.040044
0.046079, -0.044218, -0.041254
0.045115, -0.045201, -0.042464
0.044130, -0.046163, -0.043675
0.043125, -0.047103, -0.044885
0.042615, -0.047565, -0.045490
0.042099, -0.048022, -0.046095
0.041579, -0.048473, -0.046700
0.041054, -0.048918, -0.047305
