x, y, z
0.088627, -0.064629, -0.028817
0.088978, -0.064146, -0.028268
0.089325, -0.063662, -0.027720
0.089670, -0.063174, -0.027173
0.090013, -0.062685, -0.026626
0.090692, -0.061698, -0.025538
0.091363, -0.060700, -0.024458
0.092025, -0.059692, -0.023385
0.092678, -0.058673, -0.022319
0.093322, -0.057644, -0.021260
0.093956, -0.056604, -0.020208
0.094581, -0.055554, -0.019163
0.095196, -0.054493, -0.018126
0.095802, -0.053421, -0.017097
0.096397, -0.052339, -0.016077
0.096983, -0.051246, -0.015064
0.097558, -0.050142, -0.014059
0.098123, -0.049028, -0.013063
0.098677, -0.047902, -0.012077
0.099221, -0.046765, -0.011101
0.099754, -0.045617, -0.010135
0.100276, -0.044457, -0.009179
0.100787, -0.043286, -0.008234
0.101287, -0.042103, -0.007302
0.101776, -0.040907, -0.006382
0.102253, -0.039699, -0.005474
0.102719, -0.038479, -0.004579
0.103172, -0.037248, -0.003696
0.103612, -0.036004, -0.002826
0.104040, -0.034748, -0.001969
0.104455, -0.033479, -0.001126
0.104858, -0.032197, -0.000299
0.105247, -0.030901, 0.000511
0.105623, -0.029591, 0.001303
0.105985, -0.028267, 0.002079
0.106332, -0.026931, 0.002839
0.106664, -0.025582, 0.003586
0.106981, -0.024223, 0.004319
0.107282, -0.022853, 0.005041
0.107567, -0.021471, 0.005746
0.107837, -0.020072, 0.006428
0.108092, -0.018654, 0.007081
0.108331, -0.017212, 0.007696
0.108554, -0.015743, 0.008268
0.108760, -0.014246, 0.008796
0.108949, -0.012723, 0.009280
0.109119, -0.011171, 0.009717
0.109270, -0.009585, 0.010099
0.109400, -0.007962, 0.010415
0.109509, -0.006294, 0.010656
0.109555, -0.005435, 0.010731
0.109595, -0.004550, 0.010761
0.109629, -0.003628, 0.010725
0.109657, -0.002646, 0.010583
0.109675, -0.001807, 0.010374
0.109681, -0.001374, 0.010244
0.109686, -0.000913, 0.010066
0.109687, -0.000656, 0.009928
0.109688, -0.000507, 0.009824
0.109689, -0.000420, 0.009747
0.109689, -0.000295, 0.009606
0.109689, -0.000150, 0.009265
0.109689, -0.000136, 0.009158
0.109689, -0.000133, 0.008991
0.109689, -0.000167, 0.008729
0.109689, -0.000297, 0.008315
0.109688, -0.000469, 0.007977
0.109686, -0.000893, 0.007442
0.109679, -0.001491, 0.006897
0.109669, -0.002106, 0.006381
0.109655, -0.002735, 0.005892
0.109637, -0.003381, 0.005433
0.109588, -0.004706, 0.004573
0.109523, -0.006045, 0.003742
0.109440, -0.007396, 0.002933
0.109339, -0.008758, 0.002145
0.109221, -0.010129, 0.001376
0.109084, -0.011507, 0.000622
0.108930, -0.012889, -0.000120
0.108757, -0.014275, -0.000853
0.108566, -0.015662, -0.001578
0.108356, -0.017049, -0.002298
0.108129, -0.018436, -0.003016
0.107884, -0.019820, -0.003732
0.107621, -0.021200, -0.004448
0.107341, -0.022577, -0.005166
0.107043, -0.023949, -0.005884
0.106728, -0.025318, -0.006603
0.106395, -0.026682, -0.007321
0.106044, -0.028042, -0.008039
0.105677, -0.029397, -0.008757
0.105292, -0.030748, -0.009475
0.104889, -0.032094, -0.010193
0.104470, -0.033434, -0.010911
0.104033, -0.034769, -0.011628
0.103579, -0.036099, -0.012346
0.103108, -0.037422, -0.013064
0.102621, -0.038739, -0.013782
0.102116, -0.040050, -0.014500
0.101595, -0.041354, -0.015218
0.101057, -0.042652, -0.015936
0.100503, -0.043942, -0.016654
0.099932, -0.045226, -0.017372
0.099345, -0.046501, -0.018090
0.098741, -0.047770, -0.018808
0.098121, -0.049030, -0.019525
0.097486, -0.050282, -0.020243
0.096834, -0.051527, -0.020961
0.096166, -0.052762, -0.021679
0.095478, -0.053997, -0.022381
0.094778, -0.055217, -0.023096
0.094062, -0.056427, -0.023811
0.093331, -0.057628, -0.024526
0.092585, -0.058820, -0.025241
0.091823, -0.060002, -0.025956
0.091047, -0.061174, -0.026672
0.090255, -0.062336, -0.027387
0.089854, -0.062913, -0.027744
0.089449, -0.063488, -0.028102
0.089040, -0.064060, -0.028459
0.088627, -0.064629, -0.028817
