x, y, z
0.028794, -0.031228, -0.046524
0.029003, -0.031035, -0.045801
0.029210, -0.030840, -0.045077
0.029417, -0.030643, -0.044354
0.029623, -0.030443, -0.043632
0.030034, -0.030038, -0.042190
0.030445, -0.029622, -0.040753
0.030854, -0.029195, -0.039321
0.031261, -0.028759, -0.037893
0.031666, -0.028312, -0.036470
0.032070, -0.027854, -0.035051
0.032471, -0.027385, -0.033637
0.032869, -0.026906, -0.032227
0.033265, -0.026414, -0.030823
0.033658, -0.025912, -0.029423
0.034048, -0.025398, -0.028029
0.034434, -0.024871, -0.026640
0.034817, -0.024333, -0.025256
0.035196, -0.023781, -0.023879
0.035571, -0.023216, -0.022507
0.035942, -0.022638, -0.021142
0.036309, -0.022045, -0.019784
0.036670, -0.021438, -0.018432
0.037027, -0.020815, -0.017089
0.037379, -0.020177, -0.015753
0.037725, -0.019523, -0.014424
0.038064, -0.018852, -0.013104
0.038397, -0.018166, -0.011791
0.038721, -0.017464, -0.010487
0.039038, -0.016744, -0.009190
0.039346, -0.016007, -0.007903
0.039645, -0.015251, -0.006626
0.039934, -0.014476, -0.005359
0.040214, -0.013680, -0.004103
0.040483, -0.012864, -0.002858
0.040738, -0.012029, -0.001623
0.040980, -0.011177, -0.000396
0.041207, -0.010309, 0.000823
0.041418, -0.009427, 0.002034
0.041613, -0.008525, 0.003235
0.041792, -0.007599, 0.004422
0.041955, -0.006642, 0.005589
0.042100, -0.005649, 0.006734
0.042226, -0.004615, 0.007851
0.042330, -0.003537, 0.008940
0.042408, -0.002418, 0.010002
0.042459, -0.001255, 0.011034
0.042477, -0.000040, 0.012031
0.042459, 0.001232, 0.012988
0.042399, 0.002573, 0.013896
0.042350, 0.003282, 0.014323
0.042285, 0.004031, 0.014720
0.042201, 0.004838, 0.015076
0.042088, 0.005738, 0.015366
0.041970, 0.006542, 0.015537
0.041902, 0.006966, 0.015606
0.041822, 0.007430, 0.015646
0.041772, 0.007706, 0.015635
0.041741, 0.007875, 0.015607
0.041721, 0.007981, 0.015578
0.041689, 0.008145, 0.015508
0.041637, 0.008408, 0.015275
0.041625, 0.008464, 0.015189
0.041611, 0.008535, 0.015046
0.041595, 0.008614, 0.014805
0.041582, 0.008674, 0.014394
0.041583, 0.008668, 0.014029
0.041612, 0.008529, 0.013390
0.041669, 0.008247, 0.012669
0.041729, 0.007938, 0.011966
0.041791, 0.007606, 0.011279
0.041855, 0.007246, 0.010612
0.041981, 0.006473, 0.009314
0.042097, 0.005673, 0.008033
0.042199, 0.004850, 0.006767
0.042288, 0.004006, 0.005515
0.042361, 0.003145, 0.004274
0.042417, 0.002268, 0.003042
0.042455, 0.001380, 0.001818
0.042474, 0.000482, 0.000600
0.042475, -0.000422, -0.000614
0.042456, -0.001331, -0.001824
0.042418, -0.002242, -0.003033
0.042360, -0.003153, -0.004240
0.042282, -0.004062, -0.005448
0.042186, -0.004968, -0.006657
0.042069, -0.005872, -0.007866
0.041934, -0.006772, -0.009075
0.041779, -0.007670, -0.010284
0.041605, -0.008564, -0.011494
0.041412, -0.009454, -0.012702
0.041199, -0.010340, -0.013911
0.040968, -0.011222, -0.015120
0.040718, -0.012098, -0.016329
0.040449, -0.012969, -0.017538
0.040162, -0.013833, -0.018746
0.039856, -0.014691, -0.019955
0.039531, -0.015543, -0.021164
0.039189, -0.016387, -0.022373
0.038828, -0.017224, -0.023582
0.038450, -0.018053, -0.024791
0.038054, -0.018873, -0.026000
0.037641, -0.019685, -0.027209
0.037210, -0.020488, -0.028417
0.036762, -0.021281, -0.029626
0.036297, -0.022065, -0.030835
0.035815, -0.022838, -0.032044
0.035317, -0.023601, -0.033253
0.034803, -0.024353, -0.034462
0.034264, -0.025106, -0.035660
0.033716, -0.025837, -0.036867
0.033152, -0.026556, -0.038074
0.032573, -0.027263, -0.039282
0.031980, -0.027957, -0.040489
0.031371, -0.028639, -0.041696
0.030748, -0.029307, -0.042903
0.030110, -0.029961, -0.044110
0.029786, -0.030283, -0.044714
0.029459, -0.030602, -0.045317
0.029128, -0.030917, -0.045921
0.028794, -0.031228, -0.046524
