x, y, z
0.163394, -0.059371, -0.005966
0.163464, -0.059180, -0.005833
0.163533, -0.058989, -0.005701
0.163601, -0.058798, -0.005569
0.163670, -0.058607, -0.005437
0.163806, -0.058224, -0.005175
0.163942, -0.057840, -0.004915
0.164078, -0.057455, -0.004658
0.164213, -0.057069, -0.004403
0.164347, -0.056681, -0.004150
0.164480, -0.056293, -0.003900
0.164613, -0.055903, -0.003652
0.164745, -0.055512, -0.003406
0.164877, -0.055121, -0.003163
0.165008, -0.054727, -0.002923
0.165138, -0.054333, -0.002685
0.165268, -0.053938, -0.002450
0.165397, -0.053541, -0.002217
0.165525, -0.053142, -0.001988
0.165653, -0.052743, -0.001762
0.165780, -0.052342, -0.001539
0.165906, -0.051939, -0.001320
0.166032, -0.051535, -0.001104
0.166158, -0.051130, -0.000892
0.166283, -0.050722, -0.000684
0.166407, -0.050313, -0.000480
0.166530, -0.049903, -0.000280
0.166653, -0.049490, -0.000084
0.166776, -0.049076, 0.000108
0.166898, -0.048660, 0.000295
0.167019, -0.048243, 0.000478
0.167139, -0.047823, 0.000656
0.167260, -0.047401, 0.000829
0.167379, -0.046977, 0.000996
0.167498, -0.046550, 0.001157
0.167617, -0.046122, 0.001313
0.167735, -0.045692, 0.001465
0.167852, -0.045260, 0.001613
0.167968, -0.044826, 0.001757
0.168084, -0.044390, 0.001896
0.168199, -0.043952, 0.002027
0.168314, -0.043509, 0.002149
0.168429, -0.043063, 0.002259
0.168544, -0.042611, 0.002355
0.168659, -0.042154, 0.002436
0.168773, -0.041691, 0.002504
0.168888, -0.041223, 0.002556
0.169003, -0.040749, 0.002590
0.169119, -0.040267, 0.002604
0.169235, -0.039776, 0.002593
0.169294, -0.039525, 0.002573
0.169353, -0.039269, 0.002538
0.169414, -0.039006, 0.002482
0.169477, -0.038730, 0.002392
0.169530, -0.038499, 0.002289
0.169557, -0.038381, 0.002230
0.169585, -0.038257, 0.002155
0.169600, -0.038189, 0.002101
0.169609, -0.038152, 0.002063
0.169614, -0.038130, 0.002037
0.169620, -0.038101, 0.001989
0.169626, -0.038076, 0.001881
0.169626, -0.038076, 0.001849
0.169624, -0.038084, 0.001799
0.169619, -0.038106, 0.001724
0.169606, -0.038163, 0.001608
0.169591, -0.038229, 0.001517
0.169558, -0.038376, 0.001380
0.169513, -0.038574, 0.001249
0.169467, -0.038776, 0.001127
0.169420, -0.038980, 0.001013
0.169372, -0.039188, 0.000910
0.169274, -0.039610, 0.000721
0.169174, -0.040034, 0.000542
0.169073, -0.040461, 0.000370
0.168969, -0.040890, 0.000204
0.168864, -0.041321, 0.000045
0.168758, -0.041753, -0.000110
0.168650, -0.042187, -0.000260
0.168541, -0.042621, -0.000408
0.168431, -0.043056, -0.000553
0.168319, -0.043491, -0.000696
0.168206, -0.043926, -0.000839
0.168092, -0.044361, -0.000981
0.167976, -0.044795, -0.001124
0.167860, -0.045229, -0.001266
0.167742, -0.045663, -0.001409
0.167624, -0.046096, -0.001552
0.167504, -0.046529, -0.001695
0.167383, -0.046962, -0.001838
0.167261, -0.047395, -0.001981
0.167138, -0.047827, -0.002124
0.167014, -0.048259, -0.002266
0.166889, -0.048690, -0.002409
0.166762, -0.049122, -0.002552
0.166635, -0.049553, -0.002695
0.166506, -0.049983, -0.002838
0.166376, -0.050413, -0.002980
0.166246, -0.050843, -0.003123
0.166114, -0.051273, -0.003266
0.165981, -0.051702, -0.003409
0.165846, -0.052131, -0.003552
0.165711, -0.052559, -0.003694
0.165575, -0.052988, -0.003837
0.165437, -0.053415, -0.003980
0.165298, -0.053843, -0.004123
0.165159, -0.054270, -0.004266
0.165018, -0.054697, -0.004408
0.164876, -0.055123, -0.004551
0.164732, -0.055551, -0.004689
0.164588, -0.055977, -0.004831
0.164443, -0.056402, -0.004973
0.164296, -0.056828, -0.005114
0.164149, -0.057252, -0.005256
0.164000, -0.057677, -0.005398
0.163850, -0.058101, -0.005540
0.163699, -0.058525, -0.005682
0.163624, -0.058736, -0.005753
0.163548, -0.058948, -0.005824
0.163471, -0.059159, -0.005895
0.163394, -0.059371, -0.005966
