x, y, z
0.049953, -0.010689, -0.001064
0.049963, -0.010639, -0.001041
0.049991, -0.010505, -0.000972
0.050033, -0.010307, -0.000868
0.050086, -0.010047, -0.000749
0.050151, -0.009717, -0.000620
0.050226, -0.009319, -0.000477
0.050310, -0.008857, -0.000320
0.050398, -0.008340, -0.000151
0.050488, -0.007775, 0.000027
0.050578, -0.007169, 0.000213
0.050664, -0.006531, 0.000401
0.050745, -0.005869, 0.000593
0.050819, -0.005190, 0.000779
0.050884, -0.004505, 0.000955
0.050940, -0.003818, 0.001116
0.050987, -0.003139, 0.001257
0.051023, -0.002472, 0.001373
0.051051, -0.001823, 0.001458
0.051069, -0.001192, 0.001510
0.051080, -0.000582, 0.001529
0.051083, 0.000005, 0.001517
0.051080, 0.000566, 0.001479
0.051072, 0.001094, 0.001418
0.051059, 0.001584, 0.001337
0.051043, 0.002030, 0.001239
0.051026, 0.002428, 0.001126
0.051008, 0.002772, 0.001002
0.050992, 0.003058, 0.000870
0.050978, 0.003286, 0.000731
0.050967, 0.003452, 0.000592
0.050962, 0.003511, 0.000523
0.050959, 0.003560, 0.000445
0.050958, 0.003579, 0.000397
0.050957, 0.003585, 0.000344
0.050958, 0.003579, 0.000325
0.050959, 0.003562, 0.000294
0.050961, 0.003527, 0.000251
0.050967, 0.003451, 0.000183
0.050972, 0.003368, 0.000126
0.050986, 0.003145, 0.000011
0.051004, 0.002851, -0.000104
0.051023, 0.002488, -0.000215
0.051042, 0.002059, -0.000322
0.051059, 0.001572, -0.000425
0.051073, 0.001031, -0.000522
0.051081, 0.000445, -0.000609
0.051083, -0.000180, -0.000683
0.051076, -0.000840, -0.000739
0.051060, -0.001531, -0.000775
0.051034, -0.002253, -0.000789
0.050995, -0.003004, -0.000785
0.050943, -0.003780, -0.000774
0.050879, -0.004569, -0.000761
0.050801, -0.005358, -0.000752
0.050713, -0.006137, -0.000751
0.050616, -0.006890, -0.000760
0.050514, -0.007606, -0.000780
0.050409, -0.008270, -0.000823
0.050307, -0.008872, -0.000869
0.050211, -0.009401, -0.000921
0.050125, -0.009848, -0.000975
0.050054, -0.010205, -0.001027
0.049999, -0.010467, -0.001073
0.049965, -0.010628, -0.001107
0.049954, -0.010683, -0.001121
