x, y, z
0.018203, -0.017146, -0.004580
0.018261, -0.017085, -0.004527
0.018415, -0.016919, -0.004370
0.018640, -0.016671, -0.004135
0.018932, -0.016338, -0.003856
0.019296, -0.015907, -0.003543
0.019725, -0.015371, -0.003187
0.020204, -0.014737, -0.002791
0.020716, -0.014007, -0.002360
0.021246, -0.013190, -0.001899
0.021777, -0.012292, -0.001417
0.022296, -0.011323, -0.000921
0.022789, -0.010297, -0.000414
0.023244, -0.009222, 0.000088
0.023654, -0.008113, 0.000573
0.024012, -0.006984, 0.001031
0.024314, -0.005847, 0.001452
0.024559, -0.004715, 0.001825
0.024747, -0.003595, 0.002139
0.024882, -0.002494, 0.002390
0.024967, -0.001417, 0.002576
0.025004, -0.000370, 0.002701
0.024999, 0.000638, 0.002772
0.024956, 0.001592, 0.002796
0.024884, 0.002481, 0.002774
0.024789, 0.003294, 0.002711
0.024681, 0.004022, 0.002610
0.024570, 0.004656, 0.002475
0.024463, 0.005190, 0.002311
0.024368, 0.005619, 0.002122
0.024291, 0.005940, 0.001916
0.024261, 0.006061, 0.001808
0.024235, 0.006165, 0.001682
0.024224, 0.006209, 0.001601
0.024218, 0.006231, 0.001507
0.024220, 0.006226, 0.001471
0.024225, 0.006203, 0.001412
0.024238, 0.006153, 0.001327
0.024267, 0.006038, 0.001187
0.024299, 0.005909, 0.001066
0.024383, 0.005550, 0.000805
0.024489, 0.005066, 0.000527
0.024607, 0.004457, 0.000239
0.024727, 0.003731, -0.000059
0.024839, 0.002896, -0.000364
0.024930, 0.001963, -0.000671
0.024989, 0.000943, -0.000972
0.025007, -0.000150, -0.001260
0.024973, -0.001309, -0.001525
0.024879, -0.002527, -0.001761
0.024717, -0.003798, -0.001966
0.024478, -0.005115, -0.002147
0.024157, -0.006464, -0.002321
0.023754, -0.007816, -0.002496
0.023274, -0.009146, -0.002678
0.022729, -0.010428, -0.002871
0.022133, -0.011639, -0.003077
0.021508, -0.012757, -0.003293
0.020880, -0.013762, -0.003538
0.020268, -0.014648, -0.003771
0.019701, -0.015402, -0.003998
0.019201, -0.016021, -0.004209
0.018789, -0.016503, -0.004392
0.018478, -0.016849, -0.004539
0.018285, -0.017059, -0.004642
0.018220, -0.017128, -0.004680
