x, y, z
0.075170, -0.007362, -0.000386
0.075174, -0.007327, -0.000372
0.075183, -0.007232, -0.000330
0.075196, -0.007091, -0.000266
0.075213, -0.006907, -0.000192
0.075234, -0.006675, -0.000115
0.075259, -0.006395, -0.000030
0.075285, -0.006072, 0.000062
0.075314, -0.005710, 0.000160
0.075343, -0.005315, 0.000264
0.075371, -0.004893, 0.000371
0.075399, -0.004449, 0.000479
0.075424, -0.003989, 0.000589
0.075448, -0.003519, 0.000694
0.075468, -0.003044, 0.000793
0.075486, -0.002569, 0.000881
0.075501, -0.002101, 0.000955
0.075512, -0.001643, 0.001014
0.075520, -0.001197, 0.001051
0.075526, -0.000765, 0.001067
0.075529, -0.000349, 0.001061
0.075530, 0.000051, 0.001034
0.075529, 0.000432, 0.000990
0.075526, 0.000791, 0.000932
0.075521, 0.001122, 0.000861
0.075516, 0.001423, 0.000781
0.075511, 0.001691, 0.000691
0.075505, 0.001922, 0.000596
0.075500, 0.002113, 0.000496
0.075496, 0.002264, 0.000395
0.075493, 0.002373, 0.000295
0.075491, 0.002412, 0.000246
0.075490, 0.002443, 0.000192
0.075490, 0.002454, 0.000158
0.075490, 0.002456, 0.000122
0.075490, 0.002451, 0.000109
0.075490, 0.002439, 0.000088
0.075491, 0.002413, 0.000060
0.075493, 0.002359, 0.000016
0.075495, 0.002301, -0.000020
0.075499, 0.002145, -0.000092
0.075505, 0.001941, -0.000160
0.075511, 0.001690, -0.000225
0.075517, 0.001394, -0.000285
0.075522, 0.001058, -0.000339
0.075527, 0.000687, -0.000388
0.075529, 0.000284, -0.000429
0.075530, -0.000144, -0.000460
0.075527, -0.000596, -0.000477
0.075522, -0.001068, -0.000480
0.075514, -0.001561, -0.000467
0.075501, -0.002073, -0.000441
0.075485, -0.002603, -0.000408
0.075464, -0.003141, -0.000375
0.075440, -0.003682, -0.000344
0.075412, -0.004215, -0.000318
0.075381, -0.004732, -0.000301
0.075349, -0.005224, -0.000291
0.075316, -0.005683, -0.000300
0.075283, -0.006099, -0.000312
0.075252, -0.006466, -0.000330
0.075225, -0.006777, -0.000353
0.075202, -0.007025, -0.000377
0.075185, -0.007209, -0.000400
0.075174, -0.007322, -0.000418
0.075170, -0.007360, -0.000426
