x, y, z
0.091640, -0.005862, -0.000200
0.091642, -0.005834, -0.000190
0.091647, -0.005758, -0.000157
0.091654, -0.005645, -0.000108
0.091663, -0.005497, -0.000053
0.091674, -0.005311, 0.000006
0.091686, -0.005087, 0.000069
0.091700, -0.004828, 0.000137
0.091715, -0.004539, 0.000210
0.091730, -0.004223, 0.000287
0.091745, -0.003885, 0.000366
0.091760, -0.003530, 0.000445
0.091773, -0.003163, 0.000526
0.091785, -0.002787, 0.000603
0.091796, -0.002408, 0.000674
0.091805, -0.002030, 0.000737
0.091813, -0.001656, 0.000790
0.091818, -0.001291, 0.000829
0.091823, -0.000936, 0.000853
0.091826, -0.000593, 0.000859
0.091827, -0.000262, 0.000848
0.091827, 0.000056, 0.000821
0.091827, 0.000358, 0.000781
0.091825, 0.000642, 0.000729
0.091823, 0.000904, 0.000668
0.091820, 0.001143, 0.000600
0.091817, 0.001354, 0.000525
0.091815, 0.001536, 0.000446
0.091812, 0.001687, 0.000364
0.091810, 0.001805, 0.000281
0.091808, 0.001890, 0.000200
0.091807, 0.001921, 0.000161
0.091807, 0.001944, 0.000117
0.091807, 0.001953, 0.000090
0.091807, 0.001954, 0.000061
0.091807, 0.001950, 0.000051
0.091807, 0.001940, 0.000035
0.091807, 0.001919, 0.000013
0.091808, 0.001876, -0.000022
0.091809, 0.001829, -0.000049
0.091812, 0.001704, -0.000104
0.091815, 0.001540, -0.000156
0.091818, 0.001340, -0.000203
0.091821, 0.001104, -0.000246
0.091824, 0.000836, -0.000285
0.091826, 0.000540, -0.000318
0.091827, 0.000220, -0.000345
0.091827, -0.000121, -0.000363
0.091826, -0.000480, -0.000371
0.091823, -0.000856, -0.000366
0.091819, -0.001247, -0.000348
0.091813, -0.001654, -0.000320
0.091804, -0.002075, -0.000287
0.091793, -0.002503, -0.000252
0.091781, -0.002932, -0.000220
0.091766, -0.003356, -0.000192
0.091750, -0.003767, -0.000170
0.091733, -0.004158, -0.000156
0.091716, -0.004523, -0.000156
0.091699, -0.004856, -0.000159
0.091683, -0.005148, -0.000169
0.091669, -0.005396, -0.000182
0.091657, -0.005594, -0.000198
0.091648, -0.005740, -0.000213
0.091642, -0.005831, -0.000226
0.091640, -0.005861, -0.000231
