x, y, z
0.099974, -0.000710, -0.000019
0.099974, -0.000706, -0.000018
0.099974, -0.000697, -0.000014
0.099974, -0.000683, -0.000008
0.099974, -0.000665, -0.000001
0.099974, -0.000643, 0.000005
0.099974, -0.000616, 0.000013
0.099975, -0.000584, 0.000021
0.099975, -0.000549, 0.000029
0.099975, -0.000511, 0.000038
0.099975, -0.000470, 0.000048
0.099975, -0.000427, 0.000057
0.099976, -0.000382, 0.000066
0.099976, -0.000337, 0.000075
0.099976, -0.000291, 0.000084
0.099976, -0.000245, 0.000091
0.099976, -0.000200, 0.000097
0.099976, -0.000155, 0.000101
0.099976, -0.000112, 0.000104
0.099976, -0.000071, 0.000104
0.099976, -0.000031, 0.000103
0.099976, 0.000007, 0.000099
0.099976, 0.000044, 0.000094
0.099976, 0.000078, 0.000088
0.099976, 0.000110, 0.000080
0.099976, 0.000139, 0.000072
0.099976, 0.000164, 0.000062
0.099976, 0.000186, 0.000053
0.099976, 0.000204, 0.000043
0.099976, 0.000219, 0.000032
0.099976, 0.000229, 0.000023
0.099976, 0.000232, 0.000018
0.099976, 0.000235, 0.000012
0.099976, 0.000236, 0.000009
0.099976, 0.000236, 0.000006
0.099976, 0.000236, 0.000004
0.099976, 0.000235, 0.000002
0.099976, 0.000232, -0.000000
0.099976, 0.000227, -0.000004
0.099976, 0.000221, -0.000008
0.099976, 0.000206, -0.000014
0.099976, 0.000186, -0.000020
0.099976, 0.000162, -0.000026
0.099976, 0.000133, -0.000031
0.099976, 0.000101, -0.000035
0.099976, 0.000065, -0.000039
0.099976, 0.000026, -0.000042
0.099976, -0.000015, -0.000044
0.099976, -0.000058, -0.000044
0.099976, -0.000104, -0.000044
0.099976, -0.000151, -0.000041
0.099976, -0.000200, -0.000037
0.099976, -0.000251, -0.000033
0.099976, -0.000303, -0.000028
0.099976, -0.000355, -0.000024
0.099975, -0.000406, -0.000020
0.099975, -0.000456, -0.000017
0.099975, -0.000503, -0.000015
0.099975, -0.000548, -0.000015
0.099975, -0.000588, -0.000015
0.099974, -0.000623, -0.000016
0.099974, -0.000653, -0.000017
0.099974, -0.000677, -0.000019
0.099974, -0.000695, -0.000021
0.099974, -0.000706, -0.000022
0.099974, -0.000710, -0.000023
