x, y, z
0.031456, -0.014851, -0.002512
0.031486, -0.014787, -0.002474
0.031567, -0.014614, -0.002363
0.031684, -0.014359, -0.002196
0.031835, -0.014021, -0.002000
0.032021, -0.013590, -0.001784
0.032239, -0.013065, -0.001542
0.032480, -0.012453, -0.001275
0.032736, -0.011763, -0.000984
0.033000, -0.011002, -0.000676
0.033262, -0.010182, -0.000354
0.033516, -0.009312, -0.000025
0.033755, -0.008404, 0.000311
0.033974, -0.007468, 0.000640
0.034170, -0.006516, 0.000955
0.034339, -0.005558, 0.001250
0.034479, -0.004605, 0.001514
0.034592, -0.003665, 0.001742
0.034677, -0.002745, 0.001924
0.034737, -0.001847, 0.002056
0.034772, -0.000975, 0.002140
0.034785, -0.000132, 0.002176
0.034779, 0.000676, 0.002172
0.034756, 0.001439, 0.002133
0.034719, 0.002148, 0.002062
0.034673, 0.002796, 0.001962
0.034622, 0.003374, 0.001838
0.034569, 0.003876, 0.001691
0.034519, 0.004297, 0.001527
0.034476, 0.004634, 0.001350
0.034441, 0.004883, 0.001166
0.034428, 0.004974, 0.001072
0.034417, 0.005051, 0.000965
0.034412, 0.005082, 0.000898
0.034411, 0.005095, 0.000822
0.034411, 0.005088, 0.000794
0.034415, 0.005066, 0.000748
0.034421, 0.005021, 0.000683
0.034436, 0.004919, 0.000578
0.034452, 0.004806, 0.000490
0.034493, 0.004499, 0.000304
0.034544, 0.004090, 0.000113
0.034601, 0.003582, -0.000080
0.034658, 0.002979, -0.000274
0.034710, 0.002291, -0.000466
0.034752, 0.001526, -0.000653
0.034779, 0.000694, -0.000832
0.034785, -0.000196, -0.000996
0.034767, -0.001136, -0.001137
0.034721, -0.002124, -0.001251
0.034642, -0.003155, -0.001338
0.034528, -0.004227, -0.001401
0.034374, -0.005333, -0.001456
0.034182, -0.006452, -0.001510
0.033952, -0.007568, -0.001570
0.033690, -0.008660, -0.001640
0.033403, -0.009710, -0.001723
0.033099, -0.010699, -0.001818
0.032792, -0.011608, -0.001942
0.032490, -0.012427, -0.002063
0.032209, -0.013139, -0.002187
0.031959, -0.013736, -0.002306
0.031751, -0.014210, -0.002414
0.031594, -0.014556, -0.002504
0.031496, -0.014767, -0.002569
0.031462, -0.014838, -0.002593
