x, y, z
0.080121, -0.006922, -0.000321
0.080124, -0.006889, -0.000308
0.080131, -0.006799, -0.000268
0.080142, -0.006666, -0.000209
0.080157, -0.006493, -0.000141
0.080174, -0.006274, -0.000070
0.080194, -0.006010, 0.000008
0.080216, -0.005706, 0.000093
0.080240, -0.005365, 0.000184
0.080264, -0.004993, 0.000279
0.080288, -0.004596, 0.000377
0.080311, -0.004177, 0.000476
0.080332, -0.003745, 0.000576
0.080351, -0.003302, 0.000673
0.080368, -0.002855, 0.000762
0.080383, -0.002409, 0.000842
0.080395, -0.001968, 0.000910
0.080404, -0.001538, 0.000962
0.080411, -0.001119, 0.000995
0.080416, -0.000713, 0.001007
0.080418, -0.000322, 0.000999
0.080419, 0.000054, 0.000971
0.080418, 0.000412, 0.000928
0.080416, 0.000748, 0.000871
0.080412, 0.001059, 0.000803
0.080408, 0.001342, 0.000725
0.080403, 0.001593, 0.000640
0.080399, 0.001809, 0.000549
0.080395, 0.001988, 0.000454
0.080391, 0.002129, 0.000358
0.080388, 0.002231, 0.000264
0.080387, 0.002267, 0.000217
0.080386, 0.002296, 0.000166
0.080386, 0.002307, 0.000134
0.080386, 0.002308, 0.000100
0.080386, 0.002304, 0.000088
0.080386, 0.002292, 0.000069
0.080387, 0.002268, 0.000042
0.080389, 0.002217, 0.000001
0.080390, 0.002162, -0.000032
0.080394, 0.002015, -0.000098
0.080398, 0.001823, -0.000162
0.080403, 0.001586, -0.000221
0.080408, 0.001308, -0.000275
0.080413, 0.000992, -0.000325
0.080417, 0.000643, -0.000368
0.080419, 0.000264, -0.000405
0.080419, -0.000138, -0.000431
0.080417, -0.000562, -0.000445
0.080413, -0.001006, -0.000445
0.080406, -0.001469, -0.000430
0.080395, -0.001951, -0.000402
0.080382, -0.002448, -0.000369
0.080365, -0.002954, -0.000334
0.080345, -0.003461, -0.000302
0.080321, -0.003962, -0.000275
0.080296, -0.004448, -0.000255
0.080269, -0.004911, -0.000244
0.080241, -0.005342, -0.000249
0.080214, -0.005734, -0.000258
0.080189, -0.006079, -0.000273
0.080166, -0.006371, -0.000293
0.080147, -0.006605, -0.000314
0.080133, -0.006777, -0.000334
0.080124, -0.006884, -0.000351
0.080121, -0.006920, -0.000358
