x, y, z
0.093289, -0.005598, -0.000182
0.093291, -0.005571, -0.000172
0.093295, -0.005498, -0.000142
0.093302, -0.005389, -0.000095
0.093310, -0.005249, -0.000042
0.093320, -0.005071, 0.000013
0.093331, -0.004857, 0.000073
0.093343, -0.004609, 0.000138
0.093357, -0.004333, 0.000207
0.093370, -0.004031, 0.000280
0.093384, -0.003709, 0.000355
0.093396, -0.003370, 0.000430
0.093408, -0.003019, 0.000507
0.093419, -0.002660, 0.000580
0.093429, -0.002298, 0.000647
0.093437, -0.001937, 0.000707
0.093444, -0.001580, 0.000757
0.093449, -0.001231, 0.000794
0.093453, -0.000892, 0.000816
0.093456, -0.000565, 0.000821
0.093457, -0.000249, 0.000810
0.093457, 0.000054, 0.000784
0.093457, 0.000343, 0.000745
0.093455, 0.000614, 0.000695
0.093453, 0.000864, 0.000637
0.093451, 0.001092, 0.000571
0.093448, 0.001293, 0.000499
0.093446, 0.001467, 0.000423
0.093443, 0.001611, 0.000345
0.093441, 0.001724, 0.000266
0.093440, 0.001805, 0.000188
0.093439, 0.001834, 0.000151
0.093439, 0.001856, 0.000109
0.093439, 0.001865, 0.000083
0.093439, 0.001866, 0.000055
0.093439, 0.001862, 0.000046
0.093439, 0.001852, 0.000030
0.093439, 0.001832, 0.000009
0.093440, 0.001791, -0.000023
0.093441, 0.001746, -0.000050
0.093443, 0.001627, -0.000102
0.093446, 0.001470, -0.000151
0.093448, 0.001279, -0.000196
0.093451, 0.001053, -0.000237
0.093454, 0.000798, -0.000273
0.093456, 0.000515, -0.000305
0.093457, 0.000209, -0.000330
0.093457, -0.000116, -0.000347
0.093456, -0.000459, -0.000353
0.093454, -0.000818, -0.000348
0.093450, -0.001191, -0.000331
0.093444, -0.001580, -0.000303
0.093436, -0.001981, -0.000271
0.093427, -0.002390, -0.000237
0.093415, -0.002799, -0.000206
0.093402, -0.003204, -0.000178
0.093388, -0.003596, -0.000157
0.093373, -0.003970, -0.000143
0.093357, -0.004319, -0.000142
0.093342, -0.004636, -0.000145
0.093328, -0.004915, -0.000153
0.093315, -0.005152, -0.000166
0.093304, -0.005341, -0.000181
0.093296, -0.005481, -0.000195
0.093291, -0.005567, -0.000207
0.093290, -0.005596, -0.000212
