x, y, z
0.078472, -0.007063, -0.000341
0.078475, -0.007030, -0.000328
0.078483, -0.006938, -0.000288
0.078495, -0.006803, -0.000226
0.078510, -0.006626, -0.000157
0.078529, -0.006403, -0.000084
0.078550, -0.006134, -0.000004
0.078574, -0.005824, 0.000083
0.078599, -0.005476, 0.000177
0.078624, -0.005097, 0.000274
0.078650, -0.004691, 0.000375
0.078674, -0.004265, 0.000477
0.078697, -0.003823, 0.000581
0.078717, -0.003372, 0.000680
0.078735, -0.002916, 0.000772
0.078751, -0.002461, 0.000855
0.078764, -0.002011, 0.000925
0.078774, -0.001571, 0.000979
0.078781, -0.001144, 0.001013
0.078786, -0.000730, 0.001026
0.078789, -0.000330, 0.001019
0.078789, 0.000053, 0.000992
0.078788, 0.000419, 0.000948
0.078786, 0.000762, 0.000891
0.078782, 0.001079, 0.000822
0.078777, 0.001368, 0.000743
0.078773, 0.001624, 0.000656
0.078768, 0.001845, 0.000564
0.078763, 0.002028, 0.000468
0.078759, 0.002173, 0.000370
0.078756, 0.002277, 0.000274
0.078755, 0.002314, 0.000226
0.078754, 0.002343, 0.000174
0.078754, 0.002354, 0.000142
0.078754, 0.002356, 0.000107
0.078754, 0.002351, 0.000094
0.078755, 0.002339, 0.000075
0.078755, 0.002315, 0.000048
0.078757, 0.002263, 0.000006
0.078758, 0.002207, -0.000028
0.078762, 0.002057, -0.000096
0.078767, 0.001861, -0.000162
0.078773, 0.001619, -0.000222
0.078778, 0.001335, -0.000278
0.078783, 0.001013, -0.000330
0.078787, 0.000657, -0.000375
0.078789, 0.000271, -0.000412
0.078789, -0.000140, -0.000440
0.078787, -0.000573, -0.000455
0.078783, -0.001026, -0.000456
0.078775, -0.001499, -0.000441
0.078764, -0.001990, -0.000414
0.078750, -0.002498, -0.000381
0.078732, -0.003014, -0.000347
0.078710, -0.003532, -0.000315
0.078686, -0.004043, -0.000289
0.078658, -0.004539, -0.000269
0.078630, -0.005012, -0.000259
0.078601, -0.005451, -0.000265
0.078572, -0.005851, -0.000275
0.078545, -0.006203, -0.000291
0.078521, -0.006501, -0.000312
0.078500, -0.006740, -0.000334
0.078485, -0.006916, -0.000354
0.078476, -0.007024, -0.000372
0.078472, -0.007061, -0.000379
