x, y, z
0.071860, -0.007686, -0.000438
0.071864, -0.007649, -0.000423
0.071875, -0.007550, -0.000379
0.071890, -0.007403, -0.000311
0.071910, -0.007212, -0.000233
0.071933, -0.006970, -0.000151
0.071961, -0.006678, -0.000062
0.071992, -0.006341, 0.000036
0.072024, -0.005964, 0.000141
0.072057, -0.005552, 0.000251
0.072089, -0.005112, 0.000365
0.072121, -0.004648, 0.000480
0.072150, -0.004169, 0.000596
0.072177, -0.003678, 0.000709
0.072200, -0.003183, 0.000814
0.072220, -0.002688, 0.000908
0.072237, -0.002199, 0.000988
0.072250, -0.001720, 0.001051
0.072259, -0.001255, 0.001092
0.072266, -0.000804, 0.001111
0.072269, -0.000369, 0.001106
0.072270, 0.000049, 0.001080
0.072269, 0.000447, 0.001036
0.072266, 0.000821, 0.000977
0.072261, 0.001168, 0.000905
0.072255, 0.001483, 0.000822
0.072249, 0.001763, 0.000730
0.072242, 0.002004, 0.000632
0.072237, 0.002205, 0.000528
0.072232, 0.002363, 0.000423
0.072228, 0.002477, 0.000319
0.072226, 0.002518, 0.000268
0.072225, 0.002550, 0.000211
0.072225, 0.002562, 0.000177
0.072225, 0.002565, 0.000139
0.072225, 0.002560, 0.000125
0.072225, 0.002547, 0.000104
0.072226, 0.002521, 0.000074
0.072228, 0.002464, 0.000028
0.072230, 0.002404, -0.000010
0.072235, 0.002241, -0.000086
0.072242, 0.002028, -0.000158
0.072249, 0.001766, -0.000227
0.072256, 0.001457, -0.000291
0.072262, 0.001107, -0.000350
0.072267, 0.000719, -0.000402
0.072270, 0.000299, -0.000447
0.072270, -0.000149, -0.000481
0.072268, -0.000620, -0.000501
0.072262, -0.001114, -0.000506
0.072252, -0.001628, -0.000495
0.072238, -0.002163, -0.000470
0.072219, -0.002716, -0.000439
0.072196, -0.003279, -0.000406
0.072168, -0.003843, -0.000376
0.072136, -0.004400, -0.000352
0.072101, -0.004940, -0.000336
0.072064, -0.005455, -0.000329
0.072026, -0.005933, -0.000340
0.071989, -0.006368, -0.000354
0.071954, -0.006751, -0.000375
0.071923, -0.007075, -0.000401
0.071897, -0.007334, -0.000427
0.071877, -0.007525, -0.000451
0.071865, -0.007643, -0.000471
0.071861, -0.007683, -0.000479
