x, y, z
0.068541, -0.008035, -0.000497
0.068546, -0.007997, -0.000482
0.068558, -0.007894, -0.000434
0.068575, -0.007741, -0.000363
0.068597, -0.007541, -0.000281
0.068625, -0.007289, -0.000194
0.068656, -0.006984, -0.000098
0.068691, -0.006633, 0.000005
0.068728, -0.006239, 0.000117
0.068766, -0.005809, 0.000234
0.068803, -0.005349, 0.000356
0.068839, -0.004865, 0.000478
0.068873, -0.004364, 0.000603
0.068903, -0.003851, 0.000723
0.068930, -0.003334, 0.000835
0.068953, -0.002817, 0.000936
0.068972, -0.002305, 0.001023
0.068987, -0.001805, 0.001091
0.068998, -0.001319, 0.001137
0.069006, -0.000847, 0.001158
0.069010, -0.000392, 0.001156
0.069011, 0.000045, 0.001131
0.069009, 0.000462, 0.001087
0.069005, 0.000854, 0.001027
0.069000, 0.001217, 0.000953
0.068993, 0.001547, 0.000867
0.068986, 0.001840, 0.000773
0.068979, 0.002094, 0.000671
0.068972, 0.002304, 0.000564
0.068967, 0.002470, 0.000455
0.068962, 0.002590, 0.000347
0.068960, 0.002633, 0.000294
0.068959, 0.002667, 0.000234
0.068959, 0.002680, 0.000198
0.068959, 0.002682, 0.000158
0.068959, 0.002677, 0.000144
0.068959, 0.002664, 0.000121
0.068960, 0.002637, 0.000090
0.068963, 0.002578, 0.000041
0.068965, 0.002515, 0.000002
0.068971, 0.002345, -0.000078
0.068978, 0.002122, -0.000156
0.068986, 0.001848, -0.000228
0.068994, 0.001526, -0.000297
0.069001, 0.001160, -0.000360
0.069007, 0.000754, -0.000417
0.069010, 0.000315, -0.000466
0.069011, -0.000153, -0.000504
0.069008, -0.000646, -0.000528
0.069001, -0.001162, -0.000535
0.068990, -0.001701, -0.000526
0.068974, -0.002261, -0.000503
0.068952, -0.002840, -0.000473
0.068925, -0.003429, -0.000442
0.068894, -0.004019, -0.000413
0.068857, -0.004601, -0.000391
0.068817, -0.005166, -0.000377
0.068775, -0.005704, -0.000372
0.068731, -0.006204, -0.000386
0.068689, -0.006659, -0.000403
0.068649, -0.007059, -0.000427
0.068613, -0.007398, -0.000455
0.068583, -0.007669, -0.000484
0.068561, -0.007868, -0.000510
0.068546, -0.007991, -0.000532
0.068542, -0.008033, -0.000540
